specification,region,region_display,coefficient_name,beta,std_error,ci95_low,ci95_high,p_value,n_observations,n_economies,first_year,last_year,single_economy_group,primary_cluster_inference,population_weighted,balanced_panel,first_difference,inference_note
Main two-way FE regional slopes,Europe_NorthAmerica,Europe & North America,slope_Europe_NorthAmerica,0.08633166419386278,0.20716505857420853,-0.322227087507838,0.4948904158955636,0.6773327486099096,1486,43,1990,2024,False,True,False,False,False,Multi-economy development group. Economy-clustered inference is used.
Main two-way FE regional slopes,DevelopedAsia_Oceania,Developed Asia & Oceania,slope_DevelopedAsia_Oceania,-0.055888510966821014,0.15287185049236696,-0.3573733889541855,0.2455963670205435,0.7150648392089621,280,8,1990,2024,False,True,False,False,False,Multi-economy development group. Economy-clustered inference is used.
Main two-way FE regional slopes,China,China,slope_China,0.5920008010814353,0.02380890645239776,0.5450462752240268,0.6389553269388437,1.5888369210359875e-62,35,1,1990,2024,True,False,False,False,False,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
Main two-way FE regional slopes,India,India,slope_India,0.6991784533670825,0.04134618928569832,0.6176379291182206,0.7807189776159444,3.742388582629465e-40,35,1,1990,2024,True,False,False,False,False,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
Main two-way FE regional slopes,Global_South,Global South,slope_Global_South,0.801321958631356,0.08484100952241816,0.6340035064649893,0.9686404107977228,1.092028355497933e-17,4889,144,1990,2024,False,True,False,False,False,Multi-economy development group. Economy-clustered inference is used.
Balanced-panel two-way FE regional slopes,Europe_NorthAmerica,Europe & North America,slope_Europe_NorthAmerica,-0.10006892087219786,0.13711576354254604,-0.3706402021354771,0.17050236039108135,0.46645823895528804,1435,41,1990,2024,False,True,False,True,False,Multi-economy development group. Economy-clustered inference is used.
Balanced-panel two-way FE regional slopes,DevelopedAsia_Oceania,Developed Asia & Oceania,slope_DevelopedAsia_Oceania,-0.043405986344142264,0.15088537128037022,-0.3411489093782804,0.25433693668999585,0.7739281259018843,280,8,1990,2024,False,True,False,True,False,Multi-economy development group. Economy-clustered inference is used.
Balanced-panel two-way FE regional slopes,China,China,slope_China,0.5964778723724898,0.023385063307378613,0.5503319998774064,0.6426237448675732,1.6549886604178576e-61,35,1,1990,2024,True,False,False,True,False,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
Balanced-panel two-way FE regional slopes,India,India,slope_India,0.7064032352758273,0.04097702177289048,0.6255430555489063,0.7872634150027482,7.004825353547657e-40,35,1,1990,2024,True,False,False,True,False,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
Balanced-panel two-way FE regional slopes,Global_South,Global South,slope_Global_South,0.7948910862778074,0.08758920272156939,0.6220508366018431,0.9677313359537716,2.0328639041463605e-16,4515,129,1990,2024,False,True,False,True,False,Multi-economy development group. Economy-clustered inference is used.
Population-weighted two-way FE regional slopes,Europe_NorthAmerica,Europe & North America,slope_Europe_NorthAmerica,-0.08005711172168134,0.14990874918008956,-0.37569833546715026,0.21558411202378758,0.5939197589000753,1486,43,1990,2024,False,True,True,False,False,Multi-economy development group. Economy-clustered inference is used.
Population-weighted two-way FE regional slopes,DevelopedAsia_Oceania,Developed Asia & Oceania,slope_DevelopedAsia_Oceania,0.407919075811985,0.15422390728934685,0.10376775088127155,0.7120704007426985,0.008831966847435492,280,8,1990,2024,False,True,True,False,False,Multi-economy development group. Economy-clustered inference is used.
Population-weighted two-way FE regional slopes,China,China,slope_China,0.6699706371021553,0.03252109460136971,0.605834445865306,0.7341068283390046,6.245473855674828e-51,35,1,1990,2024,True,False,True,False,False,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
Population-weighted two-way FE regional slopes,India,India,slope_India,0.8351969782665606,0.056818816307011355,0.7231422484616047,0.9472517080715165,1.851262106918325e-33,35,1,1990,2024,True,False,True,False,False,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
Population-weighted two-way FE regional slopes,Global_South,Global South,slope_Global_South,0.9850502488158257,0.12197489548386885,0.7444985294244791,1.2256019682071722,6.680327787708284e-14,4889,144,1990,2024,False,True,True,False,False,Multi-economy development group. Economy-clustered inference is used.
First-difference regional slopes,Europe_NorthAmerica,Europe & North America,d_slope_Europe_NorthAmerica,0.744590825407782,0.09712485025307958,0.5530469045761779,0.9361347462393861,8.032467249889098e-13,1443,43,1991,2024,False,True,False,False,True,Multi-economy development group. Economy-clustered inference is used.
First-difference regional slopes,DevelopedAsia_Oceania,Developed Asia & Oceania,d_slope_DevelopedAsia_Oceania,0.030776627580535246,0.07727913697627442,-0.12162874402464617,0.18318199918571665,0.6908773692743683,272,8,1991,2024,False,True,False,False,True,Multi-economy development group. Economy-clustered inference is used.
First-difference regional slopes,China,China,d_slope_China,0.7838828490192621,0.06378922386074759,0.6580814911458162,0.909684206892708,4.1746391693823664e-26,34,1,1991,2024,True,False,False,False,True,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
First-difference regional slopes,India,India,d_slope_India,0.5197648682640674,0.05060336542884153,0.41996788534714996,0.619561851180985,4.468272173663479e-20,34,1,1991,2024,True,False,False,False,True,"Single-economy development group. Point estimate is informative, but the conventional economy-clustered standard error, confidence interval and p-value should not be used for strong inferential claims."
