iso3c,country,region,first_year,last_year,n_years,within_log_gdp_sd,within_log_co2_sd,missing_years,coverage_pct,is_balanced_1990_2024
ABW,Aruba,Global_South,1990,2024,35,0.07575923854253089,0.17617893227511583,,100.0,True
AFG,Afghanistan,Global_South,2000,2023,24,0.23678593021314956,0.8428750450351392,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2024",68.57142857142857,False
AGO,Angola,Global_South,1990,2024,35,0.22609343710091567,0.1505691942045546,,100.0,True
ALB,Albania,Europe_NorthAmerica,1990,2024,35,0.5189348911181947,0.4057902135235542,,100.0,True
ARE,United Arab Emirates,Global_South,1990,2024,35,0.1610559691915758,0.15389956082719727,,100.0,True
ARG,Argentina,Global_South,1990,2024,35,0.15369206296644566,0.11983887394050449,,100.0,True
ARM,Armenia,Global_South,1990,2024,35,0.5959352775820086,0.4706981450939905,,100.0,True
ASM,American Samoa,Global_South,2002,2022,21,0.03946004865339952,0.05292375559306505,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2023,2024",60.0,False
ATG,Antigua and Barbuda,Global_South,1990,2024,35,0.1174506764198717,0.20710571394795324,,100.0,True
AUS,Australia,DevelopedAsia_Oceania,1990,2024,35,0.1716039201425757,0.09135055441944753,,100.0,True
AUT,Austria,Europe_NorthAmerica,1990,2024,35,0.12932380333177557,0.10548486883296593,,100.0,True
AZE,Azerbaijan,Global_South,1990,2024,35,0.608369551514522,0.21908860855327736,,100.0,True
BDI,Burundi,Global_South,1990,2024,35,0.12632950433633539,0.3077510212098322,,100.0,True
BEL,Belgium,Europe_NorthAmerica,1990,2024,35,0.12787316994227726,0.1692126248266135,,100.0,True
BEN,Benin,Global_South,1990,2024,35,0.1533206277812154,0.7796695970138038,,100.0,True
BFA,Burkina Faso,Global_South,1990,2024,35,0.2665738423185596,0.6652019115911136,,100.0,True
BGD,Bangladesh,Global_South,1990,2024,35,0.4483574003345295,0.574866545738071,,100.0,True
BGR,Bulgaria,Europe_NorthAmerica,1990,2024,35,0.33862636471156865,0.10142948045386782,,100.0,True
BHR,Bahrain,Global_South,1990,2024,35,0.062066586200311205,0.06849567261687839,,100.0,True
BHS,"Bahamas, The",Global_South,1990,2024,35,0.0709081708878831,0.15987876210199037,,100.0,True
BIH,Bosnia and Herzegovina,Europe_NorthAmerica,1990,2024,35,0.6903980494547617,0.5611350439735119,,100.0,True
BLR,Belarus,Europe_NorthAmerica,1990,2024,35,0.43841372815108215,0.14454561291703996,,100.0,True
BLZ,Belize,Global_South,1990,2024,35,0.11301309903783253,0.2099188181799392,,100.0,True
BMU,Bermuda,Europe_NorthAmerica,1990,2024,35,0.12613610683629206,0.2071290049837395,,100.0,True
BOL,Bolivia,Global_South,1990,2024,35,0.21482222104605797,0.2802874429562041,,100.0,True
BRA,Brazil,Global_South,1990,2024,35,0.1521880423047133,0.15669416578283982,,100.0,True
BRB,Barbados,Global_South,1990,2024,35,0.08684361455342643,0.1085796906031901,,100.0,True
BRN,Brunei Darussalam,Global_South,1990,2024,35,0.13176670500610782,0.09443407916770351,,100.0,True
BTN,Bhutan,Global_South,1990,2023,34,0.49190448674673554,0.6099462450696059,2024,97.14285714285714,False
BWA,Botswana,Global_South,1990,2024,35,0.17711944220407658,0.18051132087730173,,100.0,True
CAF,Central African Republic,Global_South,1990,2024,35,0.11312188957670083,0.18282576448762536,,100.0,True
CAN,Canada,Europe_NorthAmerica,1990,2024,35,0.1302929651900403,0.0680967518195841,,100.0,True
CHE,Switzerland,Europe_NorthAmerica,1990,2024,35,0.09907877204677996,0.1795418432428664,,100.0,True
CHL,Chile,Global_South,1990,2024,35,0.30015555423541773,0.22361833446017365,,100.0,True
CHN,China,China,1990,2024,35,0.8282264495533732,0.5222370191264539,,100.0,True
CIV,Cote d'Ivoire,Global_South,1990,2024,35,0.14924155210107307,0.27903851639851796,,100.0,True
CMR,Cameroon,Global_South,1990,2024,35,0.10736574499116706,0.06838889136783394,,100.0,True
COD,"Congo, Dem. Rep.",Global_South,1990,2024,35,0.22007935992052174,0.19262475200516546,,100.0,True
COG,"Congo, Rep.",Global_South,1990,2024,35,0.11210624055861594,0.14374799797177823,,100.0,True
COL,Colombia,Global_South,1990,2024,35,0.2103860095039516,0.08975619346316593,,100.0,True
COM,Comoros,Global_South,1990,2024,35,0.06446702985663225,0.5740711022314419,,100.0,True
CPV,Cabo Verde,Global_South,1990,2024,35,0.510029866609532,0.9123436893702324,,100.0,True
CRI,Costa Rica,Global_South,1990,2024,35,0.2700691782519543,0.14749658482852904,,100.0,True
CUB,Cuba,Global_South,1990,2024,35,0.3161236555206797,0.14459294494199185,,100.0,True
CYM,Cayman Islands,Global_South,2006,2023,18,0.07970498371409984,0.14377327910104915,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2024",51.42857142857142,False
CYP,Cyprus,Europe_NorthAmerica,1990,2024,35,0.17847598970188502,0.1382195194995431,,100.0,True
CZE,Czechia,Europe_NorthAmerica,1990,2024,35,0.22801405461008512,0.17381909363291087,,100.0,True
DEU,Germany,Europe_NorthAmerica,1990,2024,35,0.12788831145833257,0.14432842404641671,,100.0,True
DJI,Djibouti,Global_South,2013,2024,12,0.12869523858853457,0.0982421912930311,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",34.285714285714285,False
DMA,Dominica,Global_South,1990,2024,35,0.15410272218830673,0.3751256174079586,,100.0,True
DNK,Denmark,Europe_NorthAmerica,1990,2024,35,0.12060941001510185,0.3463481975727755,,100.0,True
DOM,Dominican Republic,Global_South,1990,2024,35,0.36331512521784826,0.246874127406329,,100.0,True
DZA,Algeria,Global_South,1990,2024,35,0.13847768453047526,0.1551567443232716,,100.0,True
ECU,Ecuador,Global_South,1990,2024,35,0.17084390131540447,0.1664677374516274,,100.0,True
EGY,"Egypt, Arab Rep.",Global_South,1990,2024,35,0.2389698031793279,0.18463595077028394,,100.0,True
ERI,Eritrea,Global_South,1992,2011,20,0.09999435854655007,0.31189483817679076,"1990,1991,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",57.14285714285714,False
