iso3c,country,region,n_years_in_source,n_valid_regression_observations,enters_main_regression,regression_sample_status
ABW,Aruba,Global_South,35,35,True,Included
AFG,Afghanistan,Global_South,35,24,True,Included
AGO,Angola,Global_South,35,35,True,Included
ALB,Albania,Europe_NorthAmerica,35,35,True,Included
AND,Andorra,Europe_NorthAmerica,35,0,False,No usable positive GDP-CO2 economy-year observations
ARE,United Arab Emirates,Global_South,35,35,True,Included
ARG,Argentina,Global_South,35,35,True,Included
ARM,Armenia,Global_South,35,35,True,Included
ASM,American Samoa,Global_South,35,21,True,Included
ATG,Antigua and Barbuda,Global_South,35,35,True,Included
AUS,Australia,DevelopedAsia_Oceania,35,35,True,Included
AUT,Austria,Europe_NorthAmerica,35,35,True,Included
AZE,Azerbaijan,Global_South,35,35,True,Included
BDI,Burundi,Global_South,35,35,True,Included
BEL,Belgium,Europe_NorthAmerica,35,35,True,Included
BEN,Benin,Global_South,35,35,True,Included
BFA,Burkina Faso,Global_South,35,35,True,Included
BGD,Bangladesh,Global_South,35,35,True,Included
BGR,Bulgaria,Europe_NorthAmerica,35,35,True,Included
BHR,Bahrain,Global_South,35,35,True,Included
BHS,"Bahamas, The",Global_South,35,35,True,Included
BIH,Bosnia and Herzegovina,Europe_NorthAmerica,35,35,True,Included
BLR,Belarus,Europe_NorthAmerica,35,35,True,Included
BLZ,Belize,Global_South,35,35,True,Included
BMU,Bermuda,Europe_NorthAmerica,35,35,True,Included
BOL,Bolivia,Global_South,35,35,True,Included
BRA,Brazil,Global_South,35,35,True,Included
BRB,Barbados,Global_South,35,35,True,Included
BRN,Brunei Darussalam,Global_South,35,35,True,Included
BTN,Bhutan,Global_South,35,34,True,Included
BWA,Botswana,Global_South,35,35,True,Included
CAF,Central African Republic,Global_South,35,35,True,Included
CAN,Canada,Europe_NorthAmerica,35,35,True,Included
CHE,Switzerland,Europe_NorthAmerica,35,35,True,Included
CHI,Channel Islands,Europe_NorthAmerica,35,0,False,No usable positive GDP-CO2 economy-year observations
CHL,Chile,Global_South,35,35,True,Included
CHN,China,China,35,35,True,Included
CIV,Cote d'Ivoire,Global_South,35,35,True,Included
CMR,Cameroon,Global_South,35,35,True,Included
COD,"Congo, Dem. Rep.",Global_South,35,35,True,Included
COG,"Congo, Rep.",Global_South,35,35,True,Included
COL,Colombia,Global_South,35,35,True,Included
COM,Comoros,Global_South,35,35,True,Included
CPV,Cabo Verde,Global_South,35,35,True,Included
CRI,Costa Rica,Global_South,35,35,True,Included
CUB,Cuba,Global_South,35,35,True,Included
CUW,Curacao,Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
CYM,Cayman Islands,Global_South,35,18,True,Included
CYP,Cyprus,Europe_NorthAmerica,35,35,True,Included
CZE,Czechia,Europe_NorthAmerica,35,35,True,Included
DEU,Germany,Europe_NorthAmerica,35,35,True,Included
DJI,Djibouti,Global_South,35,12,True,Included
DMA,Dominica,Global_South,35,35,True,Included
DNK,Denmark,Europe_NorthAmerica,35,35,True,Included
DOM,Dominican Republic,Global_South,35,35,True,Included
DZA,Algeria,Global_South,35,35,True,Included
ECU,Ecuador,Global_South,35,35,True,Included
EGY,"Egypt, Arab Rep.",Global_South,35,35,True,Included
ERI,Eritrea,Global_South,35,20,True,Included
ESP,Spain,Europe_NorthAmerica,35,35,True,Included
EST,Estonia,Europe_NorthAmerica,35,35,True,Included
ETH,Ethiopia,Global_South,35,35,True,Included
FIN,Finland,Europe_NorthAmerica,35,35,True,Included
FJI,Fiji,Global_South,35,35,True,Included
FRA,France,Europe_NorthAmerica,35,35,True,Included
FRO,Faroe Islands,Europe_NorthAmerica,35,17,True,Included
FSM,"Micronesia, Fed. Sts.",Global_South,35,35,True,Included
GAB,Gabon,Global_South,35,35,True,Included
GBR,United Kingdom,Europe_NorthAmerica,35,35,True,Included
GEO,Georgia,Global_South,35,35,True,Included
GHA,Ghana,Global_South,35,35,True,Included
