iso3c,country,region,region_display,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling,dominant_expansion_classification
ABW,Aruba,Global_South,Global South,34,22,7,5,10,12,0.6470588235294118,0.3181818181818182,0.22727272727272727,0.45454545454545453,0.5454545454545454,3.9624030096009237,2.895915647760894,2.5151299952607706,3.9712391591079754,0.3180279782862676,0.24545979821116262,0.43651222350256974,0.5634877764974302,Coupled expansion
AFG,Afghanistan,Global_South,Global South,23,12,4,1,7,5,0.5217391304347826,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.4166666666666667,7.137004862463114,4.864524459153186,17.423130237009527,4.2889364461278,0.35273997813945657,0.06528062509475874,0.5819793967657847,0.4180206032342153,Coupled expansion
AGO,Angola,Global_South,Global South,34,17,5,6,6,11,0.5,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.6470588235294118,5.12643438025245,4.3700877861330145,1.8154670813924554,0.6682882572377702,0.2993082323644247,0.29793458074852636,0.4027571868870489,0.5972428131129511,Tie
ALB,Albania,Europe_NorthAmerica,Europe & North America,34,30,11,10,9,21,0.8823529411764706,0.36666666666666664,0.3333333333333333,0.3,0.7,6.529037407957173,5.688686681801691,4.898632417634777,3.131666595773086,0.3620889492005553,0.33888548492276893,0.2990255658766758,0.7009744341233243,Absolute decoupling
ARE,United Arab Emirates,Global_South,Global South,34,16,9,4,3,13,0.47058823529411764,0.5625,0.25,0.1875,0.8125,1.7827624469678185,2.0235337095410144,-1.4553931747131132,-0.5539204198016345,0.6063065425974825,0.21630251346175466,0.17739094394076285,0.8226090560592372,Absolute decoupling
ARG,Argentina,Global_South,Global South,34,20,1,13,6,14,0.5882352941176471,0.05,0.65,0.3,0.7,5.74472733760963,6.602719259386669,3.972500500306558,3.5133531265268303,0.05651866252667768,0.6399584439833035,0.3035228934900188,0.6964771065099812,Relative decoupling
ARM,Armenia,Global_South,Global South,34,29,10,8,11,18,0.8529411764705882,0.3448275862068966,0.27586206896551724,0.3793103448275862,0.6206896551724138,7.70811263184412,7.602947750748346,3.4958268236077603,5.1607313766844465,0.34535615582502843,0.275765762621238,0.3788780815537336,0.6211219184462664,Coupled expansion
ASM,American Samoa,Global_South,Global South,20,12,0,9,3,9,0.6,0.0,0.75,0.25,0.75,2.23751490046468,1.7261940675804888,0.8921404814011898,0.95514555309959,0.0,0.7567118225635187,0.24328817743648137,0.7567118225635187,Relative decoupling
ATG,Antigua and Barbuda,Global_South,Global South,34,24,7,7,10,14,0.7058823529411765,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.5833333333333334,4.192455866836261,3.4266130396760186,1.6857000048887505,2.967450082836165,0.2711571191672308,0.3073210269347511,0.42152185389801816,0.5784781461019819,Coupled expansion
AUS,Australia,DevelopedAsia_Oceania,Developed Asia & Oceania,34,29,15,13,1,28,0.8529411764705882,0.5172413793103449,0.4482758620689655,0.034482758620689655,0.9655172413793104,1.930406872760766,1.9073909576527992,-0.24843948404311586,-0.3394951010804226,0.5648861700598964,0.40517451963964435,0.02993931030045926,0.9700606896995407,Absolute decoupling
AUT,Austria,Europe_NorthAmerica,Europe & North America,34,27,11,5,11,16,0.7941176470588235,0.4074074074074074,0.18518518518518517,0.4074074074074074,0.5925925925925926,2.019107444901456,1.9862629640022167,0.5208632692122045,0.47868837622428995,0.4112148062266587,0.18010375586349228,0.40868143790984907,0.591318562090151,Tie
AZE,Azerbaijan,Global_South,Global South,34,24,11,5,8,16,0.7058823529411765,0.4583333333333333,0.20833333333333334,0.3333333333333333,0.6666666666666666,8.018112932980847,5.806536717576893,-0.3164084731485592,0.9402765010643854,0.4349921136565138,0.19941395485827296,0.36559393148521324,0.6344060685147868,Absolute decoupling
BDI,Burundi,Global_South,Global South,34,18,8,0,10,8,0.5294117647058824,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,1.2479182487316265,1.1535096967255076,6.862431131371461,6.618072360352434,0.4942527022246283,0.0,0.5057472977753716,0.4942527022246283,Coupled expansion
BEL,Belgium,Europe_NorthAmerica,Europe & North America,34,28,15,6,7,21,0.8235294117647058,0.5357142857142857,0.21428571428571427,0.25,0.75,1.8926321805746404,1.5998599190693241,-0.8869947514091463,-1.11105347095527,0.5399423322355787,0.2176357333099012,0.24242193445452004,0.7575780655454799,Absolute decoupling
BEN,Benin,Global_South,Global South,34,27,11,2,14,13,0.7941176470588235,0.4074074074074074,0.07407407407407407,0.5185185185185185,0.48148148148148145,2.3784045419528552,2.1645243905676237,9.442241100289296,3.3856531129559775,0.42692047549760886,0.09439023537875547,0.4786892891236357,0.5213107108763644,Coupled expansion
BFA,Burkina Faso,Global_South,Global South,34,28,6,7,15,13,0.8235294117647058,0.21428571428571427,0.25,0.5357142857142857,0.4642857142857143,3.2433789746873196,3.2301619394179415,9.263804012156944,5.655713875386315,0.22765330631385416,0.2450506593642611,0.5272960343218848,0.47270396567811523,Coupled expansion
BGD,Bangladesh,Global_South,Global South,34,34,4,8,22,12,1.0,0.11764705882352941,0.23529411764705882,0.6470588235294118,0.35294117647058826,4.247838342091495,4.280734155175359,5.223930115210483,5.161002088864885,0.11584289952314893,0.24366374545386282,0.6404933550229882,0.35950664497701174,Coupled expansion
BGR,Bulgaria,Europe_NorthAmerica,Europe & North America,34,27,13,4,10,17,0.7941176470588235,0.48148148148148145,0.14814814814814814,0.37037037037037035,0.6296296296296297,4.78171953084827,4.72028584001869,0.6925034765837054,0.9937055130934125,0.478893305294179,0.1603642053540276,0.36074248935179337,0.6392575106482066,Absolute decoupling
BHR,Bahrain,Global_South,Global South,34,21,8,7,6,15,0.6176470588235294,0.38095238095238093,0.3333333333333333,0.2857142857142857,0.7142857142857143,2.885753552604974,1.918495728888736,1.4072257630060128,0.2683532903309249,0.37500133681754516,0.3361219978272101,0.2888766653552447,0.7111233346447553,Absolute decoupling
BHS,"Bahamas, The",Global_South,Global South,34,21,8,0,13,8,0.6176470588235294,0.38095238095238093,0.0,0.6190476190476191,0.38095238095238093,3.2148731379693736,2.557560461870989,5.193916228966884,8.241886264036967,0.3878640441711825,0.0,0.6121359558288175,0.3878640441711825,Coupled expansion
BIH,Bosnia and Herzegovina,Europe_NorthAmerica,Europe & North America,34,30,10,10,10,20,0.8823529411764706,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,8.273121975078038,5.066216531015321,5.074846155067905,3.5948696234089694,0.3215611817939313,0.3285523797331362,0.3498864384729325,0.6501135615270675,Tie
