year_to,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling
1991,187,93,33,20,40,53,0.49732620320855614,0.3548387096774194,0.21505376344086022,0.43010752688172044,0.5698924731182796,4.46098123588581,3.0955341180189944,5.3305123489345245,2.8085808649718214,0.1820885606501273,0.5754268230352023,0.24248461631467044,0.7575153836853296
1992,187,97,34,28,35,62,0.5187165775401069,0.35051546391752575,0.28865979381443296,0.36082474226804123,0.6391752577319587,5.506990840752452,3.8913165235515246,2.2065792223753116,2.723197188423132,0.1212000260845241,0.7057918714068059,0.17300810250867002,0.82699189749133
1993,188,102,42,23,37,65,0.5425531914893617,0.4117647058823529,0.22549019607843138,0.3627450980392157,0.6372549019607843,4.420508154236553,3.265191847640325,3.7702959717055795,0.8360112384181551,0.10481693878857541,0.6837149416316518,0.2114681195797728,0.7885318804202273
1994,188,129,41,29,59,70,0.6861702127659575,0.3178294573643411,0.2248062015503876,0.4573643410852713,0.5426356589147286,4.175902867256702,3.343144082665628,16.23128227481921,3.2834357130394842,0.1497920001672176,0.6588009778957796,0.19140702193700276,0.8085929780629972
1995,188,144,52,38,54,90,0.7659574468085106,0.3611111111111111,0.2638888888888889,0.375,0.625,4.603767492353471,3.3095506978344624,4.5326608208076395,1.5016526709503153,0.12512823246004784,0.5555798525547573,0.31929191498519494,0.6807080850148051
1996,188,150,43,44,63,87,0.7978723404255319,0.2866666666666667,0.29333333333333333,0.42,0.58,4.660648389153845,3.5821234876732944,4.549197556352519,2.984306005602111,0.3314224928680315,0.4319497154106581,0.23662779172131043,0.7633722082786896
1997,188,148,60,36,52,96,0.7872340425531915,0.40540540540540543,0.24324324324324326,0.35135135135135137,0.6486486486486487,5.980676952183025,3.3651043866929076,4.106947120312017,1.459320269908726,0.19761414925143442,0.32929834440595124,0.4730875063426143,0.5269124936573857
1998,188,142,49,37,56,86,0.7553191489361702,0.34507042253521125,0.2605633802816901,0.39436619718309857,0.6056338028169014,3.8196450014858727,3.089185407451578,2.166687410623219,1.4460678117933279,0.20370300299757588,0.6107192642494446,0.1855777327529796,0.8144222672470204
1999,188,135,62,38,35,100,0.7180851063829787,0.45925925925925926,0.2814814814814815,0.25925925925925924,0.7407407407407407,3.8614329129811353,3.06398619740893,1.3214623372641434,0.46653283182096494,0.5007764310921222,0.3377403291215163,0.1614832397863615,0.8385167602136385
2000,188,152,64,41,47,105,0.8085106382978723,0.42105263157894735,0.26973684210526316,0.3092105263157895,0.6907894736842105,4.78315926661097,3.4982091081239064,5.226472251102893,1.263389907118706,0.19128834794070984,0.6572723897102347,0.15143926234905544,0.8485607376509445
2001,189,138,47,33,58,80,0.7301587301587301,0.34057971014492755,0.2391304347826087,0.42028985507246375,0.5797101449275363,3.7150124093137875,2.557984168601013,2.3909859968305422,1.8333469538213465,0.41136535437873856,0.352578387118646,0.2360562585026155,0.7639437414973845
2002,189,141,60,30,51,90,0.746031746031746,0.425531914893617,0.2127659574468085,0.3617021276595745,0.6382978723404256,3.743758837013434,2.7229292402534355,0.7020709069139385,1.1836977806453985,0.28046364116098493,0.5617177637927844,0.15781859504623072,0.8421814049537693
2003,193,150,33,56,61,89,0.7772020725388601,0.22,0.37333333333333335,0.4066666666666667,0.5933333333333334,4.285948314623441,3.4435801548327594,4.537085850962669,2.9800555431149567,0.07106264037681985,0.4852255553948669,0.4437118042283133,0.5562881957716868
2004,193,169,62,59,48,121,0.8756476683937824,0.3668639053254438,0.34911242603550297,0.28402366863905326,0.7159763313609467,5.230229370638363,4.0749066715678905,256.5680486441945,1.2101385383953112,0.18564968426551653,0.42496357519090605,0.38938674054357747,0.6106132594564225
2005,193,166,57,58,51,115,0.8601036269430051,0.3433734939759036,0.3493975903614458,0.3072289156626506,0.6927710843373494,4.556849984534658,3.5257760775464386,2.5445051638455616,1.6278116843771895,0.28346932190270446,0.36371246290757064,0.3528182151897249,0.6471817848102751
2006,193,171,59,57,55,116,0.8860103626943006,0.34502923976608185,0.3333333333333333,0.3216374269005848,0.6783625730994152,4.9530843963795546,4.112018902180381,3.422471660240954,1.2499140216963411,0.23199006754261117,0.5953488786687708,0.17266105378861804,0.8273389462113819
2007,194,172,56,54,62,110,0.8865979381443299,0.32558139534883723,0.313953488372093,0.36046511627906974,0.6395348837209303,4.759089988080283,4.132469077430201,3.633122233732051,2.3569650925812757,0.13050239434094513,0.5063425442762041,0.36315506138285075,0.6368449386171492
2008,195,142,69,27,46,96,0.7282051282051282,0.4859154929577465,0.19014084507042253,0.323943661971831,0.676056338028169,3.899522117325625,3.3412886206516723,1.519362832107486,0.20960102447660223,0.23428119092972305,0.36436356353857025,0.4013552455317067,0.5986447544682933
2009,196,73,33,16,24,49,0.37244897959183676,0.4520547945205479,0.2191780821917808,0.3287671232876712,0.6712328767123288,3.5392866868998496,2.905116146090614,3.207203808644009,0.5893279618699232,0.19346593085739303,0.6828225162703248,0.12371155287228228,0.8762884471277177
2010,196,159,40,36,83,76,0.8112244897959183,0.25157232704402516,0.22641509433962265,0.5220125786163522,0.4779874213836478,4.228250071295076,3.6239910333416114,4.618205430709415,4.135623682700307,0.08255332945922095,0.5032706659130303,0.4141760046277488,0.5858239953722513
2011,196,157,66,30,61,96,0.8010204081632653,0.42038216560509556,0.1910828025477707,0.3885350318471338,0.6114649681528662,3.9242759215389627,3.4659743901529705,2.32987146010171,1.4381307807404209,0.23302438341672618,0.28883524665065474,0.47814036993261905,0.5218596300673809
2012,195,140,59,20,61,79,0.717948717948718,0.42142857142857143,0.14285714285714285,0.4357142857142857,0.5642857142857143,4.037298661036018,3.0234274374899006,3.8997231958207674,1.5548160339371675,0.3008199270581838,0.2537613171129743,0.44541875582884194,0.5545812441711581
2013,195,146,58,31,57,89,0.7487179487179487,0.3972602739726027,0.21232876712328766,0.3904109589041096,0.6095890410958904,3.158104509131279,2.685115349385392,1.8919411140073292,1.2521378118454107,0.1846267604489501,0.5411626956938692,0.2742105438571807,0.7257894561428193
2014,196,157,69,19,69,88,0.8010204081632653,0.4394904458598726,0.12101910828025478,0.4394904458598726,0.5605095541401274,2.8857464980910548,2.5683693516694195,1.4278866510083221,0.9381556446260042,0.24539924165369745,0.2575694879364921,0.49703127040981043,0.5029687295901896
2015,196,148,48,32,68,80,0.7551020408163265,0.32432432432432434,0.21621621621621623,0.4594594594594595,0.5405405405405406,2.9157373895507934,2.556431020257488,3.0104486219533926,1.6785243616833312,0.3994556218016775,0.3620948016193214,0.23844957657900112,0.7615504234209989
2016,196,152,55,31,66,86,0.7755102040816326,0.3618421052631579,0.20394736842105263,0.4342105263157895,0.5657894736842105,3.10621478837267,2.7113403984451834,3.4324306720275817,1.9103354026614894,0.4458570288025501,0.30283472003618267,0.2513082511612672,0.7486917488387328
2017,196,161,69,36,56,105,0.8214285714285714,0.42857142857142855,0.2236024844720497,0.34782608695652173,0.6521739130434783,3.858555961711477,2.744408885210192,1.4075301615397615,0.6624405830586433,0.22230536915117868,0.4968188465869903,0.28087578426183096,0.719124215738169
2018,196,155,69,28,58,97,0.7908163265306123,0.44516129032258067,0.18064516129032257,0.3741935483870968,0.6258064516129033,3.004085567928941,2.556066908441923,2.526353621868505,0.970558950021827,0.28034168664804743,0.4820822952998059,0.23757601805214665,0.7624239819478533
2019,195,148,69,26,53,95,0.7589743589743589,0.46621621621621623,0.17567567567567569,0.3581081081081081,0.6418918918918919,2.8758979544908145,2.570172394291148,2.176335222163879,0.4780997852104396,0.5239874269113505,0.34087037699772116,0.1351421960909284,0.8648578039090716
2020,195,22,8,6,8,14,0.11282051282051282,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.6363636363636364,5.115819871822527,1.983490575712099,2.4369804075619337,1.3004258890656928,0.1478929474942355,0.7050829996755585,0.14702405283020595,0.8529759471697941
2021,195,162,34,55,73,89,0.8307692307692308,0.20987654320987653,0.3395061728395062,0.4506172839506173,0.5493827160493827,6.268325299331308,4.830385117148051,5.662514192040813,4.514335492406918,0.08438913831629741,0.3456416839470477,0.5699691777366549,0.4300308222633451
2022,195,162,67,53,42,120,0.8307692307692308,0.41358024691358025,0.3271604938271605,0.25925925925925924,0.7407407407407407,4.744896058158619,3.567941881498471,1.6798559280107095,0.9579979217855583,0.47448793939605477,0.19768193443722604,0.3278301261667192,0.6721698738332809
