region,region_display,year_to,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling
China,China,1991,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,7.879667555920111,7.879667555920111,4.198477005717272,4.198477005717272,0.0,1.0,0.0,1.0
China,China,1992,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,12.907376349184418,12.907376349184418,3.414246225530171,3.414246225530171,0.0,1.0,0.0,1.0
China,China,1993,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,12.626827003835327,12.626827003835327,7.017690656425191,7.017690656425191,0.0,1.0,0.0,1.0
China,China,1994,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,11.801888169280339,11.801888169280339,4.2382962815015635,4.2382962815015635,0.0,1.0,0.0,1.0
China,China,1995,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,9.832960544026914,9.832960544026914,9.271112632725309,9.271112632725309,0.0,1.0,0.0,1.0
China,China,1996,1,1,1,0,0,1,1.0,1.0,0.0,0.0,1.0,8.829513658785949,8.829513658785949,-1.7929384473938437,-1.7929384473938437,1.0,0.0,0.0,1.0
China,China,1997,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,8.174846273822588,8.174846273822588,1.8580328246477595,1.8580328246477595,0.0,1.0,0.0,1.0
China,China,1998,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,6.890190160506515,6.890190160506515,1.4860399690126203,1.4860399690126203,0.0,1.0,0.0,1.0
China,China,1999,1,1,1,0,0,1,1.0,1.0,0.0,0.0,1.0,6.808187599930049,6.808187599930049,-2.952448012253739,-2.952448012253739,1.0,0.0,0.0,1.0
China,China,2000,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,7.734180164793081,7.734180164793081,4.973522381030704,4.973522381030704,0.0,1.0,0.0,1.0
China,China,2001,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,7.528727371283539,7.528727371283539,4.0981857224531515,4.0981857224531515,0.0,1.0,0.0,1.0
China,China,2002,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,8.513909501600558,8.513909501600558,7.331028600543954,7.331028600543954,0.0,1.0,0.0,1.0
China,China,2003,1,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,9.434441278392192,9.434441278392192,14.76861815381385,14.76861815381385,0.0,0.0,1.0,0.0
China,China,2004,1,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,9.47923943183735,9.47923943183735,14.468694565952012,14.468694565952012,0.0,0.0,1.0,0.0
China,China,2005,1,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,10.804648548500273,10.804648548500273,12.78791311862073,12.78791311862073,0.0,0.0,1.0,0.0
China,China,2006,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,12.047281892569517,12.047281892569517,10.402081655847795,10.402081655847795,0.0,1.0,0.0,1.0
China,China,2007,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,13.555366350840936,13.555366350840936,8.088348785453059,8.088348785453059,0.0,1.0,0.0,1.0
