period,start_year,end_year,region,region_display,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,mean_annualized_gdp_growth_pct_during_expansions,median_annualized_gdp_growth_pct_during_expansions,mean_annualized_co2_growth_pct_during_expansions,median_annualized_co2_growth_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling,total_main_sample_economies_in_region,endpoint_coverage_pct
1990-2004,1990,2004,China,China,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,240.9967085568594,240.9967085568594,99.39624889453104,99.39624889453104,9.157501052070781,9.157501052070781,5.052975066820609,5.052975066820609,0.0,1.0,0.0,1.0,1,100.0
1990-2004,1990,2004,DevelopedAsia_Oceania,Developed Asia & Oceania,8,8,1,6,1,7,1.0,0.125,0.75,0.125,0.875,49.19538876965732,38.58377910677625,25.098590296579168,16.790295624288255,2.768250429053534,2.3561879433688704,1.472502309546868,1.1145803304051238,0.02983517085860294,0.9682782706317481,0.0018865585096489279,0.9981134414903511,8,100.0
1990-2004,1990,2004,Europe_NorthAmerica,Europe & North America,42,38,21,14,3,35,0.9047619047619048,0.5526315789473685,0.3684210526315789,0.07894736842105263,0.9210526315789473,39.89622217351055,30.03268597818969,1403.44437336438,-1.979141755218533,2.2227481562417752,1.8934990861020018,0.8144868668502512,-0.14269164232733056,0.4182971738923963,0.5189980838994863,0.06270474220811738,0.9372952577918826,43,97.67441860465115
1990-2004,1990,2004,Global_South,Global South,135,98,14,30,54,44,0.725925925925926,0.14285714285714285,0.30612244897959184,0.5510204081632653,0.4489795918367347,65.43908398547903,30.01844709028333,116.2223519836521,42.02670115603991,2.5075084360221207,1.8926789853320414,3.274544794639509,2.537699906911872,0.10529182051337334,0.2224371892567768,0.6722709902298498,0.3277290097701501,144,93.75
1990-2004,1990,2004,India,India,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,65.95016775240062,65.95016775240062,48.063115747590814,48.063115747590814,3.6842266044309735,3.6842266044309735,2.843009619089054,2.843009619089054,0.0,1.0,0.0,1.0,1,100.0
1990-2024,1990,2024,China,China,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,1330.513101231915,1330.513101231915,337.9925416218179,337.9925416218179,8.139673526222158,8.139673526222158,4.439953092093818,4.439953092093818,0.0,1.0,0.0,1.0,1,100.0
1990-2024,1990,2024,DevelopedAsia_Oceania,Developed Asia & Oceania,8,8,7,1,0,8,1.0,0.875,0.125,0.0,1.0,116.22356469598972,94.41211704458729,-3.473923965612208,-15.029216719904264,2.1329015363623998,1.9723611956534937,-0.2352326361763163,-0.4784016491603649,0.7814378349040836,0.21856216509591644,0.0,1.0,8,100.0
1990-2024,1990,2024,Europe_NorthAmerica,Europe & North America,41,40,39,1,0,40,0.975609756097561,0.975,0.025,0.0,1.0,107.24705731361169,61.498865308162465,-34.72954165198869,-36.587653391131184,1.8805075088836058,1.4195582487717129,-1.3845598494665776,-1.3309037631440923,0.9962230248721694,0.003776975127830647,0.0,1.0,43,95.34883720930233
1990-2024,1990,2024,Global_South,Global South,129,113,22,38,53,60,0.875968992248062,0.19469026548672566,0.336283185840708,0.4690265486725664,0.5309734513274337,124.9329705395789,81.07011078541034,222.56224263891664,78.31035701661528,1.9620990261545803,1.7615535283701078,2.060751324191874,1.715595528236391,0.1494631616398548,0.4739539951854519,0.3765828431746933,0.6234171568253066,144,89.58333333333334
1990-2024,1990,2024,India,India,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,345.63719690494327,345.63719690494327,213.00269913774565,213.00269913774565,4.493118197676282,4.493118197676282,3.412953914954242,3.412953914954242,0.0,1.0,0.0,1.0,1,100.0
2005-2014,2005,2014,China,China,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,121.782545540955,121.782545540955,65.83008430929631,65.83008430929631,9.253755343411264,9.253755343411264,5.780845923669298,5.780845923669298,0.0,1.0,0.0,1.0,1,100.0
2005-2014,2005,2014,DevelopedAsia_Oceania,Developed Asia & Oceania,8,8,5,3,0,8,1.0,0.625,0.375,0.0,1.0,28.11885414439633,25.478957740125296,-4.19456856474396,-5.067729367324864,2.6297090076890712,2.5499507829498613,-0.5403100767139096,-0.5901318259243504,0.7250531845748618,0.27494681542513816,0.0,1.0,8,100.0
2005-2014,2005,2014,Europe_NorthAmerica,Europe & North America,42,35,27,7,1,34,0.8333333333333334,0.7714285714285715,0.2,0.02857142857142857,0.9714285714285714,19.06438757575519,9.322376812979805,-10.77047070550335,-17.5663619484976,1.8638827386482468,0.9952636481800115,-1.4221083713137286,-2.1235353277379354,0.8214813109080743,0.17442504736482642,0.004093641727099285,0.9959063582729007,43,97.67441860465115
