region,year_to,gdp_pc_region,co2_pc_region,population_region,log_gdp_region,log_co2_region,year_from,d_log_gdp,d_log_co2,year_gap,gdp_change_pct,co2_change_pct,decoupling_classification,gdp_expansion,region_display
China,1991,989.548540519036,2.21606084568727,1150780000.0,6.8972488194423,0.7957312259481926,1990,0.07584623066875373,0.041127327156387006,1.0,7.879667555920111,4.198477005717272,Relative decoupling,True,China
China,1992,1117.27329480169,2.2917226194666,1164970000.0,7.018646437720783,0.8293037703537088,1991,0.12139761827848261,0.03357254440551627,1.0,12.907376349184418,3.414246225530171,Relative decoupling,True,China
China,1993,1258.34946089635,2.45254862360409,1178440000.0,7.1375561895392545,0.8971277383991088,1992,0.11890975181847185,0.06782396804539992,1.0,12.626827003835327,7.017690656425191,Relative decoupling,True,China
China,1994,1406.85845705008,2.55649490072032,1191835000.0,7.249114452942431,0.9386371409027651,1993,0.1115582634031762,0.04150940250365631,1.0,11.801888169280339,4.2382962815015635,Relative decoupling,True,China
China,1995,1545.19429404212,2.79351042241598,1204855000.0,7.342904938086706,1.0272990208626678,1994,0.09379048514427524,0.08866187995990271,1.0,9.832960544026914,9.271112632725309,Relative decoupling,True,China
China,1996,1681.62743528935,2.74342450002053,1217550000.0,7.427517314980887,1.009206957553943,1995,0.08461237689418066,-0.018092063308724704,1.0,8.829513658785949,-1.7929384473938437,Absolute decoupling,True,China
China,1997,1819.09789302268,2.79439822775034,1230075000.0,7.506095994014891,1.0276167802955474,1996,0.0785786790340044,0.018409822741604298,1.0,8.174846273822588,1.8580328246477595,Relative decoupling,True,China
China,1998,1944.43719705771,2.83592410230809,1241935000.0,7.572727855340976,1.0423678460790757,1997,0.06663186132608523,0.014751065783528361,1.0,6.890190160506515,1.4860399690126203,Relative decoupling,True,China
China,1999,2076.81812919622,2.75219491752047,1252735000.0,7.638592255861221,1.0123987451503222,1998,0.06586440052024489,-0.02996910092875349,1.0,6.808187599930049,-2.952448012253739,Absolute decoupling,True,China
China,2000,2237.44298500334,2.88907594771294,1262645000.0,7.713088968261597,1.060936709720401,1999,0.07449671240037592,0.04853796457007875,1.0,7.734180164793081,4.973522381030704,Relative decoupling,True,China
China,2001,2405.89396743215,3.00747564571294,1271850000.0,7.78567682550206,1.1011010709828501,2000,0.07258785724046302,0.040164361262449155,1.0,7.528727371283539,4.0981857224531515,Relative decoupling,True,China
China,2002,2610.72960252379,3.22795454545455,1280400000.0,7.867385002449233,1.171848668974777,2001,0.08170817694717325,0.07074759799192676,1.0,8.513909501600558,7.331028600543954,Relative decoupling,True,China
China,2003,2857.0373538115,3.7046788264514094,1288400000.0,7.957540476633052,1.3095965684727187,2002,0.09015547418381864,0.13774789949794175,1.0,9.434441278392192,14.76861815381383,Coupled expansion,True,China
China,2004,3127.86276523632,4.24069749050016,1296075000.0,8.048105227696462,1.4447277581912705,2003,0.09056475106341022,0.13513118971855187,1.0,9.47923943183735,14.468694565952035,Coupled expansion,True,China
China,2005,3465.81734409951,4.78299420120885,1303720000.0,8.15070376955034,1.565066752322106,2004,0.10259854185387773,0.12033899413083549,1.0,10.804648548500273,12.78791311862073,Coupled expansion,True,China
China,2006,3883.35412942474,5.28052516361306,1311020000.0,8.26445452552807,1.664025555577577,2005,0.11375075597772977,0.0989588032554709,1.0,12.047281892569517,10.402081655847795,Relative decoupling,True,China
