specification,region,region_display,term,beta_log_gdp,std_error,ci95_low,ci95_high,p_value,n_total_obs_model,n_total_economies_model,n_region_obs,n_region_economies,inferential_caution
Baseline 1990-2024,Europe_NorthAmerica,Europe & North America,region_slope_Europe_NorthAmerica,0.08633166419386278,0.20716505857420853,-0.322227087507838,0.4948904158955636,0.6773327486099096,6725,197,1486,43,
Baseline 1990-2024,DevelopedAsia_Oceania,Developed Asia & Oceania,region_slope_DevelopedAsia_Oceania,-0.055888510966821014,0.15287185049236696,-0.3573733889541855,0.2455963670205435,0.7150648392089621,6725,197,280,8,
Baseline 1990-2024,China,China,region_slope_China,0.5920008010814353,0.02380890645239776,0.5450462752240268,0.6389553269388437,1.5888369210359875e-62,6725,197,35,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
Baseline 1990-2024,India,India,region_slope_India,0.6991784533670825,0.04134618928569832,0.6176379291182206,0.7807189776159444,3.742388582629465e-40,6725,197,35,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
Baseline 1990-2024,Global_South,Global South,region_slope_Global_South,0.801321958631356,0.08484100952241816,0.6340035064649893,0.9686404107977228,1.092028355497933e-17,6725,197,4889,144,
End year 2022,Europe_NorthAmerica,Europe & North America,region_slope_Europe_NorthAmerica,0.1414617630756409,0.21849228116768302,-0.2894358712295637,0.5723593973808455,0.5181015011523349,6352,197,1401,43,
End year 2022,DevelopedAsia_Oceania,Developed Asia & Oceania,region_slope_DevelopedAsia_Oceania,-0.015932130921924192,0.14852115534029153,-0.3088368236570066,0.2769725618131582,0.9146830830502842,6352,197,264,8,
End year 2022,China,China,region_slope_China,0.5986767027883797,0.0237464000099229,0.5518454484627953,0.6455079571139641,2.0046113218129747e-63,6352,197,33,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
End year 2022,India,India,region_slope_India,0.6965288380413198,0.04251046181942042,0.6126922039354586,0.780365472147181,1.420590347662374e-38,6352,197,33,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
End year 2022,Global_South,Global South,region_slope_Global_South,0.8066651600348935,0.08486232788539694,0.639304665046118,0.974025655023669,7.334740364795827e-18,6352,197,4621,144,
End year 2023,Europe_NorthAmerica,Europe & North America,region_slope_Europe_NorthAmerica,0.11649215272138168,0.21491808978506535,-0.3073566714240625,0.5403409768668258,0.5884132020914636,6542,197,1444,43,
End year 2023,DevelopedAsia_Oceania,Developed Asia & Oceania,region_slope_DevelopedAsia_Oceania,-0.036636110679735635,0.15096849284995273,-0.33436729860093445,0.26109507724146314,0.8085117971425932,6542,197,272,8,
End year 2023,China,China,region_slope_China,0.5956030142121873,0.023847929300986514,0.5485715297864905,0.6426344986378841,8.205084210427989e-63,6542,197,34,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
End year 2023,India,India,region_slope_India,0.6977214542675235,0.0420987676705994,0.6146967391632683,0.7807461693717788,3.843463337473741e-39,6542,197,34,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
End year 2023,Global_South,Global South,region_slope_Global_South,0.8056007817672404,0.08479086860692592,0.6383812145672076,0.9728203489672731,7.55710058404845e-18,6542,197,4758,144,
Exclude 2020-2021,Europe_NorthAmerica,Europe & North America,region_slope_Europe_NorthAmerica,0.10394859115951437,0.2081878210703621,-0.3066271926208182,0.5145243749398469,0.6181266446178744,6335,197,1400,43,
Exclude 2020-2021,DevelopedAsia_Oceania,Developed Asia & Oceania,region_slope_DevelopedAsia_Oceania,-0.04308329548543913,0.150880717788547,-0.3406413785898059,0.2544747876189277,0.7755278598529356,6335,197,264,8,
Exclude 2020-2021,China,China,region_slope_China,0.5967150303291356,0.023976037175837243,0.5494308990826264,0.6439991615756449,1.3817823917824592e-62,6335,197,33,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
Exclude 2020-2021,India,India,region_slope_India,0.7089744203294368,0.0414897362723736,0.6271508011509076,0.790798039507966,1.1001434923044084e-40,6335,197,33,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
Exclude 2020-2021,Global_South,Global South,region_slope_Global_South,0.7943623089675753,0.08385774115907814,0.628983000872505,0.9597416170626456,9.10143405325299e-18,6335,197,4605,144,
Strict balanced panel,Europe_NorthAmerica,Europe & North America,region_slope_Europe_NorthAmerica,-0.10006892087219786,0.13711576354254604,-0.3706402021354771,0.17050236039108135,0.46645823895528804,6300,180,1435,41,
Strict balanced panel,DevelopedAsia_Oceania,Developed Asia & Oceania,region_slope_DevelopedAsia_Oceania,-0.043405986344142264,0.15088537128037022,-0.3411489093782804,0.25433693668999585,0.7739281259018843,6300,180,280,8,
Strict balanced panel,China,China,region_slope_China,0.5964778723724898,0.023385063307378613,0.5503319998774064,0.6426237448675732,1.6549886604178576e-61,6300,180,35,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
Strict balanced panel,India,India,region_slope_India,0.7064032352758273,0.04097702177289048,0.6255430555489063,0.7872634150027482,7.004825353547657e-40,6300,180,35,1,Single-economy development group; clustered inference for this regional slope requires additional caution.
Strict balanced panel,Global_South,Global South,region_slope_Global_South,0.7948910862778074,0.08758920272156939,0.6220508366018431,0.9677313359537716,2.0328639041463605e-16,6300,180,4515,129,
