result_id,result_family,scope,estimate,ci95_low,ci95_high,p_value,unit,preferred_interpretation,source_script,source_file
global_elasticity,GDP-CO2 elasticity,All economies,0.653117544289133,0.505118302150786,0.8011167864274801,1.320730970018587e-15,CO2-per-capita elasticity with respect to GDP per capita,"Association, not causal effect.",13,data/analysis/final_robustness/global_twfe_robustness.csv
regional_elasticity_europe_and_north_america,GDP-CO2 elasticity,Europe & North America,0.0863316641938627,-0.322227087507838,0.4948904158955636,0.6773327486099096,CO2-per-capita elasticity with respect to GDP per capita,"Association, not causal effect.",13,data/analysis/final_robustness/regional_heterogeneity_robustness.csv
regional_elasticity_developed_asia_and_oceania,GDP-CO2 elasticity,Developed Asia & Oceania,-0.055888510966821,-0.3573733889541855,0.2455963670205435,0.7150648392089621,CO2-per-capita elasticity with respect to GDP per capita,"Association, not causal effect.",13,data/analysis/final_robustness/regional_heterogeneity_robustness.csv
regional_elasticity_china,GDP-CO2 elasticity,China,0.5920008010814353,0.5450462752240268,0.6389553269388437,1.5888369210359875e-62,CO2-per-capita elasticity with respect to GDP per capita,"Association, not causal effect.",13,data/analysis/final_robustness/regional_heterogeneity_robustness.csv
regional_elasticity_india,GDP-CO2 elasticity,India,0.6991784533670825,0.6176379291182206,0.7807189776159444,3.742388582629465e-40,CO2-per-capita elasticity with respect to GDP per capita,"Association, not causal effect.",13,data/analysis/final_robustness/regional_heterogeneity_robustness.csv
regional_elasticity_global_south,GDP-CO2 elasticity,Global South,0.801321958631356,0.6340035064649893,0.9686404107977228,1.092028355497933e-17,CO2-per-capita elasticity with respect to GDP per capita,"Association, not causal effect.",13,data/analysis/final_robustness/regional_heterogeneity_robustness.csv
global_elasticity_robustness_range,GDP-CO2 robustness,All sample-based robustness specifications,0.653117544289133,,,,Baseline elasticity; robustness range described in preferred_interpretation,Sample-based elasticity estimates range from 0.613 to 0.688; all corresponding 95% confidence intervals remain above zero.,13,data/analysis/final_robustness/global_twfe_robustness.csv
governance_government_effectiveness,Governance interaction,Government Effectiveness,-0.0429555429252755,-0.0695830768126729,-0.0163280090378781,0.0051203699431344,Change in GDP-CO2 elasticity per 10-point higher governance score,"The baseline linear interaction is negative, but the region-adjusted estimate is -0.010 and the quadratic-GDP estimate is 0.026. The governance moderation result is therefore specification-sensitive.",12,data/analysis/governance_results/governance_specification_robustness.csv
governance_regulatory_quality,Governance interaction,Regulatory Quality,-0.0463875909909776,-0.0763761513388254,-0.0163990306431297,0.0052070748205493,Change in GDP-CO2 elasticity per 10-point higher governance score,"The baseline linear interaction is negative, but the region-adjusted estimate is -0.004 and the quadratic-GDP estimate is 0.039. The governance moderation result is therefore specification-sensitive.",12,data/analysis/governance_results/governance_specification_robustness.csv
governance_rule_of_law,Governance interaction,Rule of Law,-0.0381601528012675,-0.0753620664933018,-0.0009582391092332,0.0444389934055836,Change in GDP-CO2 elasticity per 10-point higher governance score,"The baseline linear interaction is negative, but the region-adjusted estimate is 0.010 and the quadratic-GDP estimate is 0.046. The governance moderation result is therefore specification-sensitive.",12,data/analysis/governance_results/governance_specification_robustness.csv
