specification,sample_type,coefficient,std_error,ci95_low,ci95_high,p_value,n_obs,n_economies,n_years,first_year,last_year,covariance,excluded_region,notes
Baseline 1990-2024,Baseline,0.653117544289133,0.0750449514025218,0.505118302150786,0.8011167864274801,1.320730970018587e-15,6725,197,35,1990,2024,Economy-clustered standard errors,,Main Script 09 economy-year sample.
End year 2022,End-year sensitivity,0.665754780117328,0.0749906461767931,0.5178626355531921,0.8136469246814639,4.326677805238235e-16,6352,197,33,1990,2022,Economy-clustered standard errors,,Baseline sample truncated at 2022.
End year 2023,End-year sensitivity,0.6607044548992085,0.074947652217953,0.5128971004935834,0.8085118093048336,6.446163161327448e-16,6542,197,34,1990,2023,Economy-clustered standard errors,,Baseline sample truncated at 2023.
Exclude 2020-2021,COVID-period exclusion,0.6532560038292369,0.0745140934707958,0.5063036885008917,0.8002083191575821,8.794887837228422e-16,6335,197,33,1990,2024,Economy-clustered standard errors,,Excludes 2020 and 2021 to reduce influence of the pandemic contraction and immediate rebound.
Strict balanced panel,Balanced-panel robustness,0.613027655479201,0.0789349716860067,0.4572648469313973,0.7687904640270047,6.025021688277395e-13,6300,180,35,1990,2024,Economy-clustered standard errors,,Economies must have valid positive GDP and CO2 observations in every year from 1990 through 2024.
Exclude Europe & North America,Leave-one-cluster-out,0.6875260361278445,0.07688216205261,0.53563838138072,0.839413690874969,1.1649526910715153e-15,5239,154,35,1990,2024,Economy-clustered standard errors,Europe_NorthAmerica,Tests whether the global elasticity is disproportionately driven by one development cluster.
Exclude Developed Asia & Oceania,Leave-one-cluster-out,0.6638820184781422,0.0758680376428986,0.5142199710760537,0.8135440658802308,1.2021327388378584e-15,6445,189,35,1990,2024,Economy-clustered standard errors,DevelopedAsia_Oceania,Tests whether the global elasticity is disproportionately driven by one development cluster.
Exclude China,Leave-one-cluster-out,0.655897249118012,0.0790553259392779,0.4999840150264272,0.8118104832095967,1.7400193104295682e-14,6690,196,35,1990,2024,Economy-clustered standard errors,China,Tests whether the global elasticity is disproportionately driven by one development cluster.
Exclude India,Leave-one-cluster-out,0.6519457685544878,0.0759507161974282,0.5021554583733784,0.8017360787355973,2.8795590536116257e-15,6690,196,35,1990,2024,Economy-clustered standard errors,India,Tests whether the global elasticity is disproportionately driven by one development cluster.
Exclude Global South,Leave-one-cluster-out,0.6769561160677859,0.1014073148803289,0.4734674516532892,0.8804447804822827,1.628306118171515e-08,1836,53,35,1990,2024,Economy-clustered standard errors,Global_South,Tests whether the global elasticity is disproportionately driven by one development cluster.
Baseline two-way clustering,Inference robustness,0.653117544289133,0.0776266946782625,0.495361120252751,0.8108739683255151,7.987221314162067e-10,6725,197,35,1990,2024,Two-way clustered by economy and year,,Identical OLS coefficient to baseline; covariance allows residual dependence within economies and within calendar years.
