indicator,indicator_display,result_family,specification,component,estimate,std_error,ci95_low,ci95_high,p_value,p_value_holm,sample,interpretation_unit,source_script
government_effectiveness,Government Effectiveness,Baseline linear interaction,Baseline linear governance interaction,GDP x governance,-0.0429555429252755,0.0135000918956588,-0.0695830768126729,-0.0163280090378781,0.0017067899810448,0.0051203699431344,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
regulatory_quality,Regulatory Quality,Baseline linear interaction,Baseline linear governance interaction,GDP x governance,-0.0463875909909776,0.0152041237550004,-0.0763761513388254,-0.0163990306431297,0.0026035374102746,0.0052070748205493,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
rule_of_law,Rule of Law,Baseline linear interaction,Baseline linear governance interaction,GDP x governance,-0.0381601528012675,0.0188612755375943,-0.0753620664933018,-0.0009582391092332,0.0444389934055836,0.0444389934055836,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
government_effectiveness,Government Effectiveness,Common balanced robustness,Common balanced 2002-2024 interaction,GDP x governance,-0.0448631498261613,0.0162723268727246,-0.0769863575857425,-0.0127399420665801,0.0064743453590095,0.0194230360770286,Common balanced all-three governance sample 2002-2024,Change in GDP-CO2 elasticity per 10-point higher governance score,12
regulatory_quality,Regulatory Quality,Common balanced robustness,Common balanced 2002-2024 interaction,GDP x governance,-0.0295086616920741,0.019058350147764,-0.0671317592453597,0.0081144358612114,0.1234128750744461,0.2468257501488922,Common balanced all-three governance sample 2002-2024,Change in GDP-CO2 elasticity per 10-point higher governance score,12
rule_of_law,Rule of Law,Common balanced robustness,Common balanced 2002-2024 interaction,GDP x governance,-0.0331502832971939,0.0236451451222283,-0.0798281748616722,0.0135276082672843,0.1627519424393653,0.2468257501488922,Common balanced all-three governance sample 2002-2024,Change in GDP-CO2 elasticity per 10-point higher governance score,12
government_effectiveness,Government Effectiveness,Specification sensitivity,Baseline linear governance interaction,GDP x governance,-0.0429555429252755,0.0135000918956588,-0.0695830768126729,-0.0163280090378781,0.0017067899810448,0.0051203699431344,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
government_effectiveness,Government Effectiveness,Specification sensitivity,Region-adjusted governance interaction,GDP x governance,-0.01021199156856,0.0126071194833992,-0.0350782298031774,0.0146542466660572,0.4189327160834679,1.0,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
government_effectiveness,Government Effectiveness,Specification sensitivity,Quadratic-GDP governance interaction,GDP x governance,0.0262491759173475,0.0128409662502601,0.0009216991402689,0.0515766526944262,0.0423016178960279,0.0423016178960279,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
government_effectiveness,Government Effectiveness,Specification sensitivity,Region + quadratic governance interaction,GDP x governance,0.0287226032479043,0.0125598329690122,0.0039496327683502,0.0534955737274584,0.0232947391219941,0.0232947391219941,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
regulatory_quality,Regulatory Quality,Specification sensitivity,Baseline linear governance interaction,GDP x governance,-0.0463875909909776,0.0152041237550004,-0.0763761513388254,-0.0163990306431297,0.0026035374102746,0.0052070748205493,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
regulatory_quality,Regulatory Quality,Specification sensitivity,Region-adjusted governance interaction,GDP x governance,-0.0037791173715897,0.0157394057571547,-0.0348234660623496,0.0272652313191701,0.8105046537998357,1.0,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
regulatory_quality,Regulatory Quality,Specification sensitivity,Quadratic-GDP governance interaction,GDP x governance,0.0386468005376794,0.0155335379462807,0.0080085047947616,0.0692850962805972,0.0136995779623594,0.0299219837674581,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
regulatory_quality,Regulatory Quality,Specification sensitivity,Region + quadratic governance interaction,GDP x governance,0.0448120228974761,0.0157313359435013,0.0137835910788516,0.0758404547161006,0.0048701311735556,0.0097402623471112,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
rule_of_law,Rule of Law,Specification sensitivity,Baseline linear governance interaction,GDP x governance,-0.0381601528012675,0.0188612755375943,-0.0753620664933018,-0.0009582391092332,0.0444389934055836,0.0444389934055836,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
rule_of_law,Rule of Law,Specification sensitivity,Region-adjusted governance interaction,GDP x governance,0.0104354700854691,0.0179437270638336,-0.0249566742163101,0.0458276143872484,0.5615408838105868,1.0,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
rule_of_law,Rule of Law,Specification sensitivity,Quadratic-GDP governance interaction,GDP x governance,0.046097727487381,0.017712163525183,0.0111623182967521,0.0810331366780099,0.0099739945891527,0.0299219837674581,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
rule_of_law,Rule of Law,Specification sensitivity,Region + quadratic governance interaction,GDP x governance,0.0582471986383157,0.0175172414689541,0.0236962530274721,0.0927981442491593,0.0010586552476756,0.003175965743027,Common complete-case governance sample,Change in GDP-CO2 elasticity per 10-point higher governance score,12
government_effectiveness,Government Effectiveness,Between/within decomposition,Between/within governance decomposition,between,-0.1781853734407579,0.0469667932806732,-0.2708225117157694,-0.0855482351657464,0.0001986813423989,0.0005960440271969,Common complete-case governance sample,Difference in GDP-CO2 elasticity per 10-point governance difference,12
