iso3c,country,region,region_display,n_government_effectiveness,first_year_government_effectiveness,last_year_government_effectiveness,n_regulatory_quality,first_year_regulatory_quality,last_year_regulatory_quality,n_rule_of_law,first_year_rule_of_law,last_year_rule_of_law,n_complete_all_three
ABW,Aruba,Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,21,2004.0,2024.0,21
AFG,Afghanistan,Global_South,Global South,23,2000.0,2023.0,23,2000.0,2023.0,23,2000.0,2023.0,23
AGO,Angola,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ALB,Albania,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ARE,United Arab Emirates,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ARG,Argentina,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ARM,Armenia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ASM,American Samoa,Global_South,Global South,19,2004.0,2022.0,19,2004.0,2022.0,19,2004.0,2022.0,19
ATG,Antigua and Barbuda,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
AUS,Australia,DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
AUT,Austria,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
AZE,Azerbaijan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BDI,Burundi,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BEL,Belgium,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BEN,Benin,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BFA,Burkina Faso,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BGD,Bangladesh,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BGR,Bulgaria,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BHR,Bahrain,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BHS,"Bahamas, The",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BIH,Bosnia and Herzegovina,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BLR,Belarus,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BLZ,Belize,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BMU,Bermuda,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BOL,Bolivia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BRA,Brazil,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BRB,Barbados,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BRN,Brunei Darussalam,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
BTN,Bhutan,Global_South,Global South,25,1996.0,2023.0,25,1996.0,2023.0,25,1996.0,2023.0,25
BWA,Botswana,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CAF,Central African Republic,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CAN,Canada,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CHE,Switzerland,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CHL,Chile,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CHN,China,China,China,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CIV,Cote d'Ivoire,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CMR,Cameroon,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
COD,"Congo, Dem. Rep.",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
COG,"Congo, Rep.",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
COL,Colombia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
COM,Comoros,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CPV,Cabo Verde,Global_South,Global South,23,2002.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,23
CRI,Costa Rica,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CUB,Cuba,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CYM,Cayman Islands,Global_South,Global South,18,2006.0,2023.0,18,2006.0,2023.0,18,2006.0,2023.0,18
CYP,Cyprus,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
CZE,Czechia,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
DEU,Germany,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
DJI,Djibouti,Global_South,Global South,12,2013.0,2024.0,12,2013.0,2024.0,12,2013.0,2024.0,12
DMA,Dominica,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
DNK,Denmark,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
DOM,Dominican Republic,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
DZA,Algeria,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ECU,Ecuador,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
EGY,"Egypt, Arab Rep.",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ERI,Eritrea,Global_South,Global South,13,1996.0,2011.0,13,1996.0,2011.0,13,1996.0,2011.0,13
ESP,Spain,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
EST,Estonia,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ETH,Ethiopia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
FIN,Finland,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
FJI,Fiji,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
FRA,France,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
FRO,Faroe Islands,Europe_NorthAmerica,Europe & North America,0,,,0,,,0,,,0
FSM,"Micronesia, Fed. Sts.",Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,26,1996.0,2024.0,21
GAB,Gabon,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GBR,United Kingdom,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GEO,Georgia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GHA,Ghana,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GIN,Guinea,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GMB,"Gambia, The",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GNB,Guinea-Bissau,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GNQ,Equatorial Guinea,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GRC,Greece,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
