year,n_main_wdi_economies,n_government_effectiveness,n_regulatory_quality,n_rule_of_law,n_complete_all_three
1990,187,0,0,0,0
1991,187,0,0,0,0
1992,188,0,0,0,0
1993,188,0,0,0,0
1994,188,0,0,0,0
1995,188,0,0,0,0
1996,188,173,174,184,173
1997,188,0,0,0,0
1998,188,173,174,184,173
1999,188,0,0,0,0
2000,189,174,175,186,174
2001,189,0,0,0,0
2002,193,176,176,186,176
2003,193,176,176,186,176
2004,193,188,188,190,188
2005,193,189,189,190,189
2006,194,190,190,191,190
2007,195,190,190,191,190
2008,196,191,191,191,191
2009,196,192,192,192,192
2010,196,192,192,192,192
2011,196,192,192,192,192
2012,195,191,191,191,191
2013,196,192,192,192,192
2014,196,192,192,192,192
2015,196,192,192,192,192
2016,196,192,192,192,192
2017,196,192,192,192,192
2018,196,192,192,192,192
2019,195,191,191,192,191
2020,195,191,191,192,191
2021,195,191,191,192,191
2022,195,191,191,192,191
2023,190,187,187,188,187
2024,183,180,180,181,180
