year,n_government_effectiveness,n_regulatory_quality,n_rule_of_law,n_complete_all_three
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,180,181,195,180
1997,0,0,0,0
1998,180,181,196,180
1999,0,0,0,0
2000,180,181,198,180
2001,0,0,0,0
2002,182,182,198,182
2003,182,182,198,182
2004,195,195,202,195
2005,196,196,202,196
2006,198,197,202,197
2007,199,198,202,198
2008,200,200,202,200
2009,201,201,203,201
2010,201,201,203,201
2011,202,202,204,202
2012,202,202,204,202
2013,202,202,204,202
2014,202,202,204,202
2015,204,204,204,204
2016,204,204,204,204
2017,204,204,204,204
2018,204,204,205,204
2019,204,204,206,204
2020,204,204,206,204
2021,204,204,206,204
2022,204,204,206,204
2023,204,204,206,204
2024,204,204,206,204
