indicator,indicator_display,sample,specification,n_obs,n_economies,n_parameters,r_squared,adjusted_r_squared,aic,bic,delta_aic_vs_linear_interaction,delta_bic_vs_linear_interaction
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Baseline linear governance interaction,4870,193,221,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,0.0,0.0
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Region-adjusted governance interaction,4870,193,225,0.9863033546089015,0.9856428489969303,-783.7738485369173,676.6672250803256,-500.57181486634545,-474.6084180020389
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Quadratic-GDP governance interaction,4870,193,222,0.9867649503241307,0.9861356590206954,-956.7289020149838,484.2396239540292,-673.5268683444119,-667.0360191283353
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Region + quadratic governance interaction,4870,193,226,0.987282387850053,0.9866662244706951,-1142.9482656215605,323.983657211759,-859.7462319509887,-827.2919858706055
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Quadratic common-slope TWFE,4870,193,220,0.986637398921223,0.9860080635155775,-914.0195065259795,513.9673210108801,-630.8174728554077,-637.3083220714843
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Baseline linear governance interaction,4870,193,221,0.9847679230579939,0.984047110640863,-274.3237425951902,1160.153934157746,0.0,0.0
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Region-adjusted governance interaction,4870,193,225,0.9862894433988827,0.9856282669341572,-778.8300678015439,681.611005815699,-504.5063252063537,-478.54292834204716
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Quadratic-GDP governance interaction,4870,193,222,0.9868414991086648,0.9862158474957162,-984.9777444739302,455.99078149508273,-710.65400187874,-704.1631526626634
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Region + quadratic governance interaction,4870,193,226,0.9873815862915145,0.9867702290381964,-1181.083597595758,285.84832523756154,-906.7598550005678,-874.3056089201846
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Quadratic common-slope TWFE,4870,193,220,0.986637398921223,0.9860080635155775,-914.0195065259795,513.9673210108801,-639.6957639307893,-646.186613146866
rule_of_law,Rule of Law,Common complete-case governance sample,Baseline linear governance interaction,4870,193,221,0.9846122753601129,0.9838840973818863,-224.8125910927829,1209.6650856601534,0.0,0.0
rule_of_law,Rule of Law,Common complete-case governance sample,Region-adjusted governance interaction,4870,193,225,0.9862957269269617,0.9856348534784448,-781.0624932912633,679.3785803259796,-556.2499021984804,-530.2865053341739
rule_of_law,Rule of Law,Common complete-case governance sample,Quadratic-GDP governance interaction,4870,193,222,0.9868417669943275,0.9862161281186275,-985.076890757231,455.89163521178193,-760.2642996644481,-753.7734504483715
rule_of_law,Rule of Law,Common complete-case governance sample,Region + quadratic governance interaction,4870,193,226,0.9874359495863083,0.9868272262135519,-1202.1101068074186,264.82181602590094,-977.2975157146357,-944.8432696342525
rule_of_law,Rule of Law,Common complete-case governance sample,Quadratic common-slope TWFE,4870,193,220,0.986637398921223,0.9860080635155775,-914.0195065259795,513.9673210108801,-689.2069154331966,-695.6977646492733
