indicator,indicator_display,sample,specification,interaction_term,delta_elasticity_change_per_10pt_governance,delta_std_error,delta_ci95_low,delta_ci95_high,delta_p_value,n_obs,n_economies,n_parameters,r_squared,adjusted_r_squared,aic,bic,delta_p_value_holm,delta_significant_holm_5pct,delta_significant_raw_5pct
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Baseline linear governance interaction,gdp_x_gov,-0.04295554292527557,0.013500091895658877,-0.06958307681267295,-0.016328009037878184,0.0017067899810448146,4870,193,221,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,0.005120369943134443,True,True
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Region-adjusted governance interaction,gdp_x_gov,-0.010211991568560097,0.012607119483399236,-0.03507822980317747,0.01465424666605728,0.41893271608346794,4870,193,225,0.9863033546089015,0.9856428489969303,-783.7738485369173,676.6672250803256,1.0,False,False
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Quadratic-GDP governance interaction,gdp_x_gov,0.026249175917347586,0.012840966250260141,0.0009216991402689265,0.051576652694426246,0.04230161789602795,4870,193,222,0.9867649503241307,0.9861356590206954,-956.7289020149838,484.2396239540292,0.04230161789602795,True,True
government_effectiveness,Government Effectiveness,Common complete-case governance sample,Region + quadratic governance interaction,gdp_x_gov,0.02872260324790433,0.01255983296901226,0.003949632768350232,0.053495573727458424,0.023294739121994153,4870,193,226,0.987282387850053,0.9866662244706951,-1142.9482656215605,323.983657211759,0.023294739121994153,True,True
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Baseline linear governance interaction,gdp_x_gov,-0.046387590990977605,0.015204123755000434,-0.07637615133882543,-0.016399030643129777,0.0026035374102746566,4870,193,221,0.9847679230579939,0.984047110640863,-274.3237425951902,1160.153934157746,0.005207074820549313,True,True
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Region-adjusted governance interaction,gdp_x_gov,-0.003779117371589772,0.015739405757154774,-0.03482346606234969,0.027265231319170146,0.8105046537998357,4870,193,225,0.9862894433988827,0.9856282669341572,-778.8300678015439,681.611005815699,1.0,False,False
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Quadratic-GDP governance interaction,gdp_x_gov,0.038646800537679486,0.015533537946280769,0.008008504794761694,0.06928509628059729,0.013699577962359488,4870,193,222,0.9868414991086648,0.9862158474957162,-984.9777444739302,455.99078149508273,0.029921983767458103,True,True
regulatory_quality,Regulatory Quality,Common complete-case governance sample,Region + quadratic governance interaction,gdp_x_gov,0.04481202289747614,0.015731335943501398,0.01378359107885169,0.0758404547161006,0.004870131173555618,4870,193,226,0.9873815862915145,0.9867702290381964,-1181.083597595758,285.84832523756154,0.009740262347111237,True,True
rule_of_law,Rule of Law,Common complete-case governance sample,Baseline linear governance interaction,gdp_x_gov,-0.038160152801267534,0.01886127553759437,-0.07536206649330185,-0.0009582391092332262,0.04443899340558363,4870,193,221,0.9846122753601129,0.9838840973818863,-224.8125910927829,1209.6650856601534,0.04443899340558363,True,True
rule_of_law,Rule of Law,Common complete-case governance sample,Region-adjusted governance interaction,gdp_x_gov,0.01043547008546919,0.01794372706383365,-0.0249566742163101,0.04582761438724848,0.5615408838105868,4870,193,225,0.9862957269269617,0.9856348534784448,-781.0624932912633,679.3785803259796,1.0,False,False
rule_of_law,Rule of Law,Common complete-case governance sample,Quadratic-GDP governance interaction,gdp_x_gov,0.04609772748738107,0.017712163525183046,0.011162318296752197,0.08103313667800995,0.0099739945891527,4870,193,222,0.9868417669943275,0.9862161281186275,-985.076890757231,455.89163521178193,0.029921983767458103,True,True
rule_of_law,Rule of Law,Common complete-case governance sample,Region + quadratic governance interaction,gdp_x_gov,0.058247198638315734,0.017517241468954198,0.02369625302747211,0.09279814424915936,0.0010586552476756694,4870,193,226,0.9874359495863083,0.9868272262135519,-1202.1101068074186,264.82181602590094,0.003175965743027008,True,True
