region,year,population_region_recalc,n_countries_used,n_countries_in_map,population_with_population_data,n_countries_with_population,country_coverage_pct,population_coverage_pct
China,1990,1135185000.0,1,1,1135185000.0,1,100.0,100.0
China,1991,1150780000.0,1,1,1150780000.0,1,100.0,100.0
China,1992,1164970000.0,1,1,1164970000.0,1,100.0,100.0
China,1993,1178440000.0,1,1,1178440000.0,1,100.0,100.0
China,1994,1191835000.0,1,1,1191835000.0,1,100.0,100.0
China,1995,1204855000.0,1,1,1204855000.0,1,100.0,100.0
China,1996,1217550000.0,1,1,1217550000.0,1,100.0,100.0
China,1997,1230075000.0,1,1,1230075000.0,1,100.0,100.0
China,1998,1241935000.0,1,1,1241935000.0,1,100.0,100.0
China,1999,1252735000.0,1,1,1252735000.0,1,100.0,100.0
China,2000,1262645000.0,1,1,1262645000.0,1,100.0,100.0
China,2001,1271850000.0,1,1,1271850000.0,1,100.0,100.0
China,2002,1280400000.0,1,1,1280400000.0,1,100.0,100.0
China,2003,1288400000.0,1,1,1288400000.0,1,100.0,100.0
China,2004,1296075000.0,1,1,1296075000.0,1,100.0,100.0
China,2005,1303720000.0,1,1,1303720000.0,1,100.0,100.0
China,2006,1311020000.0,1,1,1311020000.0,1,100.0,100.0
China,2007,1317885000.0,1,1,1317885000.0,1,100.0,100.0
China,2008,1324655000.0,1,1,1324655000.0,1,100.0,100.0
China,2009,1331260000.0,1,1,1331260000.0,1,100.0,100.0
China,2010,1337705000.0,1,1,1337705000.0,1,100.0,100.0
China,2011,1345035000.0,1,1,1345035000.0,1,100.0,100.0
China,2012,1354190000.0,1,1,1354190000.0,1,100.0,100.0
China,2013,1363240000.0,1,1,1363240000.0,1,100.0,100.0
China,2014,1371860000.0,1,1,1371860000.0,1,100.0,100.0
China,2015,1379860000.0,1,1,1379860000.0,1,100.0,100.0
China,2016,1387790000.0,1,1,1387790000.0,1,100.0,100.0
China,2017,1396215000.0,1,1,1396215000.0,1,100.0,100.0
China,2018,1402760000.0,1,1,1402760000.0,1,100.0,100.0
China,2019,1407745000.0,1,1,1407745000.0,1,100.0,100.0
China,2020,1411100000.0,1,1,1411100000.0,1,100.0,100.0
China,2021,1412360000.0,1,1,1412360000.0,1,100.0,100.0
China,2022,1412175000.0,1,1,1412175000.0,1,100.0,100.0
China,2023,1410710000.0,1,1,1410710000.0,1,100.0,100.0
China,2024,1408975000.0,1,1,1408975000.0,1,100.0,100.0
DevelopedAsia_Oceania,1990,200488793.0,8,8,200488793.0,8,100.0,100.0
DevelopedAsia_Oceania,1991,202226573.0,8,8,202226573.0,8,100.0,100.0
DevelopedAsia_Oceania,1992,203708395.0,8,8,203708395.0,8,100.0,100.0
DevelopedAsia_Oceania,1993,205090107.0,8,8,205090107.0,8,100.0,100.0
DevelopedAsia_Oceania,1994,206495256.0,8,8,206495256.0,8,100.0,100.0
DevelopedAsia_Oceania,1995,207878179.0,8,8,207878179.0,8,100.0,100.0
DevelopedAsia_Oceania,1996,209451752.0,8,8,209451752.0,8,100.0,100.0
DevelopedAsia_Oceania,1997,210753555.0,8,8,210753555.0,8,100.0,100.0
DevelopedAsia_Oceania,1998,211973300.0,8,8,211973300.0,8,100.0,100.0
DevelopedAsia_Oceania,1999,213012664.0,8,8,213012664.0,8,100.0,100.0
DevelopedAsia_Oceania,2000,214150100.0,8,8,214150100.0,8,100.0,100.0
DevelopedAsia_Oceania,2001,215399577.0,8,8,215399577.0,8,100.0,100.0
DevelopedAsia_Oceania,2002,216461896.0,8,8,216461896.0,8,100.0,100.0
DevelopedAsia_Oceania,2003,217337193.0,8,8,217337193.0,8,100.0,100.0
DevelopedAsia_Oceania,2004,218077605.0,8,8,218077605.0,8,100.0,100.0
DevelopedAsia_Oceania,2005,218750867.0,8,8,218750867.0,8,100.0,100.0
DevelopedAsia_Oceania,2006,219738923.0,8,8,219738923.0,8,100.0,100.0
DevelopedAsia_Oceania,2007,220941959.0,8,8,220941959.0,8,100.0,100.0
DevelopedAsia_Oceania,2008,222273403.0,8,8,222273403.0,8,100.0,100.0
DevelopedAsia_Oceania,2009,223330061.0,8,8,223330061.0,8,100.0,100.0
DevelopedAsia_Oceania,2010,224268094.0,8,8,224268094.0,8,100.0,100.0
DevelopedAsia_Oceania,2011,225064350.0,8,8,225064350.0,8,100.0,100.0
DevelopedAsia_Oceania,2012,225911355.0,8,8,225911355.0,8,100.0,100.0
DevelopedAsia_Oceania,2013,226673584.0,8,8,226673584.0,8,100.0,100.0
DevelopedAsia_Oceania,2014,227551469.0,8,8,227551469.0,8,100.0,100.0
DevelopedAsia_Oceania,2015,228430644.0,8,8,228430644.0,8,100.0,100.0
DevelopedAsia_Oceania,2016,229341193.0,8,8,229341193.0,8,100.0,100.0
DevelopedAsia_Oceania,2017,230107252.0,8,8,230107252.0,8,100.0,100.0
DevelopedAsia_Oceania,2018,230892892.0,8,8,230892892.0,8,100.0,100.0
DevelopedAsia_Oceania,2019,231640417.0,8,8,231640417.0,8,100.0,100.0
DevelopedAsia_Oceania,2020,231886194.0,8,8,231886194.0,8,100.0,100.0
DevelopedAsia_Oceania,2021,231141710.0,8,8,231141710.0,8,100.0,100.0
DevelopedAsia_Oceania,2022,231115901.0,8,8,231115901.0,8,100.0,100.0
DevelopedAsia_Oceania,2023,232070739.0,8,8,232070739.0,8,100.0,100.0
DevelopedAsia_Oceania,2024,232433108.0,8,8,232433108.0,8,100.0,100.0
Europe_NorthAmerica,1990,989401372.0,42,53,1000301586.0,53,79.24528301886792,98.91030723608189
Europe_NorthAmerica,1991,995139504.0,42,53,1005776327.0,53,79.24528301886792,98.94242658984356
Europe_NorthAmerica,1992,1000544665.0,42,53,1011231057.0,53,79.24528301886792,98.94322945027983
Europe_NorthAmerica,1993,1005457661.0,42,53,1016193092.0,53,79.24528301886792,98.94356386748593
Europe_NorthAmerica,1994,1009711107.0,42,53,1020490008.0,53,79.24528301886792,98.9437524213368
Europe_NorthAmerica,1995,1013682295.0,42,53,1024498988.0,53,79.24528301886792,98.94419680968977
Europe_NorthAmerica,1996,1017463049.0,42,53,1028306006.0,53,79.24528301886792,98.9455515248639
Europe_NorthAmerica,1997,1021228390.0,42,53,1032078364.0,53,79.24528301886792,98.94872575780495
Europe_NorthAmerica,1998,1024831784.0,42,53,1035534688.0,53,79.24528301886792,98.96643694083572
Europe_NorthAmerica,1999,1028355017.0,42,53,1038824925.0,53,79.24528301886792,98.99213931548668
Europe_NorthAmerica,2000,1031486929.0,42,53,1041865534.0,53,79.24528301886792,99.00384409875296
Europe_NorthAmerica,2001,1034370123.0,42,53,1044759208.0,53,79.24528301886792,99.00560005401742
Europe_NorthAmerica,2002,1037528035.0,42,53,1047929791.0,53,79.24528301886792,99.00739953293302
Europe_NorthAmerica,2003,1041127966.0,42,53,1051516355.0,53,79.24528301886792,99.01205635550956
Europe_NorthAmerica,2004,1045175424.0,42,53,1055553173.0,53,79.24528301886792,99.01684261243749
Europe_NorthAmerica,2005,1049197042.0,42,53,1059554810.0,53,79.24528301886792,99.0224415101282
Europe_NorthAmerica,2006,1053494058.0,42,53,1063823031.0,53,79.24528301886792,99.02907037176186
Europe_NorthAmerica,2007,1058199498.0,42,53,1068499073.0,53,79.24528301886792,99.0360707594175
Europe_NorthAmerica,2008,1063145164.0,43,53,1073364529.0,53,81.13207547169812,99.04791292017812
