region,year,gdp_pc_region,co2_pc_region,population_region
China,1990,917.270661782581,2.12676894074534,1135185000.0
China,1991,989.5485405190361,2.21606084568727,1150780000.0
China,1992,1117.27329480169,2.2917226194666,1164970000.0
China,1993,1258.34946089635,2.45254862360409,1178440000.0
China,1994,1406.85845705008,2.55649490072032,1191835000.0
China,1995,1545.19429404212,2.79351042241598,1204855000.0
China,1996,1681.62743528935,2.74342450002053,1217550000.0
China,1997,1819.09789302268,2.79439822775034,1230075000.0
China,1998,1944.4371970577101,2.83592410230809,1241935000.0
China,1999,2076.81812919622,2.75219491752047,1252735000.0
China,2000,2237.44298500334,2.88907594771294,1262645000.0
China,2001,2405.89396743215,3.00747564571294,1271850000.0
China,2002,2610.72960252379,3.22795454545455,1280400000.0
China,2003,2857.0373538115,3.7046788264514094,1288400000.0
China,2004,3127.86276523632,4.24069749050016,1296075000.0
China,2005,3465.81734409951,4.78299420120885,1303720000.0
China,2006,3883.35412942474,5.28052516361306,1311020000.0
China,2007,4409.75700836878,5.7076324565497,1317885000.0
China,2008,4811.47471804961,5.85225866357655,1324655000.0
China,2009,5237.76666540352,6.24909018523805,1331260000.0
China,2010,5764.86534987407,6.80718476794211,1337705000.0
China,2011,6275.90956436258,7.40185065816131,1345035000.0
China,2012,6723.19443752823,7.58441651466929,1354190000.0
China,2013,7198.06876478162,7.893276312314781,1363240000.0
China,2014,7686.57792954381,7.931643316373389,1371860000.0
China,2015,8175.332850773929,7.79057049265868,1379860000.0
China,2016,8679.37704460133,7.763224839493011,1387790000.0
China,2017,9221.51403820573,7.878026521703319,1396215000.0
China,2018,9798.6528523316,8.2177362485386,1402760000.0
China,2019,10356.4804194995,8.39147587098516,1407745000.0
China,2020,10573.6420059282,8.47858302033874,1411100000.0
China,2021,11469.5707134928,8.88715660313235,1412360000.0
China,2022,11830.5983703496,8.86482511020235,1412175000.0
China,2023,12484.157884417502,9.23027553501428,1410710000.0
China,2024,13121.6769905565,9.31508933799393,1408975000.0
DevelopedAsia_Oceania,1990,24693.032322461528,9.118098685945009,200488793.0
DevelopedAsia_Oceania,1991,25398.120107472754,9.289577389020977,202226573.0
DevelopedAsia_Oceania,1992,25649.38077971635,9.454973124696208,203708395.0
DevelopedAsia_Oceania,1993,25827.06469633981,9.561967316151433,205090107.0
DevelopedAsia_Oceania,1994,26368.779065050207,9.914344472882224,206495256.0
DevelopedAsia_Oceania,1995,27175.581015263302,10.10776604888385,207878179.0
DevelopedAsia_Oceania,1996,28036.3219351617,10.294880226163018,209451752.0
DevelopedAsia_Oceania,1997,28505.779494585127,10.321480460910845,210753555.0
DevelopedAsia_Oceania,1998,28077.830321242673,9.856634774285252,211973300.0
DevelopedAsia_Oceania,1999,28546.308981836548,10.23204704862055,213012664.0
DevelopedAsia_Oceania,2000,29579.367573193278,10.483474441524896,214150100.0
DevelopedAsia_Oceania,2001,29765.724539176095,10.45031253705758,215399577.0
DevelopedAsia_Oceania,2002,30173.59952402433,10.68539979895585,216461896.0
DevelopedAsia_Oceania,2003,30704.809677393663,10.729602548975597,217337193.0
DevelopedAsia_Oceania,2004,31654.560449639823,10.800440971460594,218077605.0
DevelopedAsia_Oceania,2005,32441.37803373571,10.805152603120865,218750867.0
DevelopedAsia_Oceania,2006,33172.48685442722,10.729586127988803,219738923.0
DevelopedAsia_Oceania,2007,34006.348759779474,10.978731296575518,220941959.0
DevelopedAsia_Oceania,2008,33975.238595209856,10.658412423730251,222273403.0
DevelopedAsia_Oceania,2009,32851.0650444401,10.366872196394569,223330061.0
DevelopedAsia_Oceania,2010,34272.856047192974,10.895639484054287,224268094.0
DevelopedAsia_Oceania,2011,34738.85062899287,11.252341830236562,225064350.0
DevelopedAsia_Oceania,2012,35369.946751669806,11.402276791266182,225911355.0
DevelopedAsia_Oceania,2013,36171.28846880683,11.358955263177037,226673584.0
DevelopedAsia_Oceania,2014,36596.7196037315,11.009906510425578,227551469.0
DevelopedAsia_Oceania,2015,37144.6099649387,10.867923219618476,228430644.0
DevelopedAsia_Oceania,2016,37685.80091231186,10.853065981914556,229341193.0
DevelopedAsia_Oceania,2017,38482.87910668136,10.85337501662051,230107252.0
DevelopedAsia_Oceania,2018,39072.27716695763,10.62137287448416,230892892.0
DevelopedAsia_Oceania,2019,39239.364647385075,10.321664202495374,231640417.0
DevelopedAsia_Oceania,2020,38011.837857560284,9.730408960871562,231886194.0
DevelopedAsia_Oceania,2021,39550.983570836586,9.914673989389453,231141710.0
DevelopedAsia_Oceania,2022,40357.41436164277,9.640329334155156,231115901.0
DevelopedAsia_Oceania,2023,41045.86737295627,9.283620198236182,232070739.0
DevelopedAsia_Oceania,2024,41412.735394228934,9.156949361964383,232433108.0
Europe_NorthAmerica,1990,23809.767841169512,13.439907479732112,989401372.0
Europe_NorthAmerica,1991,23679.55660389266,13.165108657971642,995139504.0
Europe_NorthAmerica,1992,23833.40474392961,12.72815681846645,1000544665.0
Europe_NorthAmerica,1993,23923.438862518222,12.41047224961172,1005457661.0
Europe_NorthAmerica,1994,24492.222653600573,12.121868042400365,1009711107.0
Europe_NorthAmerica,1995,24998.135602904706,12.124162827565216,1013682295.0
Europe_NorthAmerica,1996,25549.41272284911,12.258831819257539,1017463049.0
Europe_NorthAmerica,1997,26389.698606408147,12.276839268050505,1021228390.0
Europe_NorthAmerica,1998,27213.00810242274,12.272069910743532,1024831784.0
Europe_NorthAmerica,1999,28184.33394000916,12.234235154220087,1028355017.0
Europe_NorthAmerica,2000,29290.796259881838,12.413946158691456,1031486929.0
Europe_NorthAmerica,2001,29708.23770717796,12.386128345278992,1034370123.0
Europe_NorthAmerica,2002,30087.010317401313,12.18738364019242,1037528035.0
Europe_NorthAmerica,2003,30634.49545363722,12.432968494479953,1041127966.0
Europe_NorthAmerica,2004,31538.222946967613,12.446186641296308,1045175424.0
Europe_NorthAmerica,2005,32342.159779744474,12.395625873295229,1049197042.0
Europe_NorthAmerica,2006,33251.076013736274,12.299091012053927,1053494058.0
Europe_NorthAmerica,2007,34023.02881935831,12.310135588440803,1058199498.0
Europe_NorthAmerica,2008,34059.98258209862,11.943490437586185,1063145164.0
Europe_NorthAmerica,2009,32696.22074452176,11.008879694871892,1067671146.0
Europe_NorthAmerica,2010,33402.066042372935,11.444895806726658,1071762374.0
Europe_NorthAmerica,2011,33927.85029602049,11.194132662563815,1074438017.0
Europe_NorthAmerica,2012,34178.04525350875,10.877025811575107,1078694535.0
Europe_NorthAmerica,2013,34494.577900372984,10.82307089826238,1082618705.0
Europe_NorthAmerica,2014,35087.75886990661,10.57625873064048,1086826050.0
Europe_NorthAmerica,2015,35760.93477703526,10.430352413474159,1091256062.0
Europe_NorthAmerica,2016,36250.72526539805,10.258898540741528,1095833832.0
Europe_NorthAmerica,2017,37069.621391318426,10.197127281468127,1099601985.0
Europe_NorthAmerica,2018,37872.76337938026,10.334783943238795,1103207688.0
Europe_NorthAmerica,2019,38587.38610038245,10.039232723649997,1106126365.0
Europe_NorthAmerica,2020,36973.14250757605,9.158075979197358,1107402933.0
Europe_NorthAmerica,2021,39322.84053056898,9.753989690157807,1106726544.0
Europe_NorthAmerica,2022,40460.832870672566,9.630275260123849,1107082042.0
Europe_NorthAmerica,2023,41078.1441592823,9.23014992961067,1109871354.0
Europe_NorthAmerica,2024,41680.12332734877,9.19543849821514,1116232206.0
Global_South,1990,2790.0211414153687,1.7433137906954306,2034770171.0
Global_South,1991,2792.401065623885,1.7504862378493726,2081380031.0
Global_South,1992,2814.729954933519,1.7440106243328863,2130050728.0
Global_South,1993,2848.06718297982,1.7421596013837746,2176408348.0
Global_South,1994,2885.5596054081266,1.7778066484212252,2222265061.0
Global_South,1995,2905.6664980879877,1.7999319355636505,2268814792.0
Global_South,1996,2985.647218044005,1.8451785977749005,2316106151.0
