iso3c,region
USA,Europe_NorthAmerica
CAN,Europe_NorthAmerica
GBR,Europe_NorthAmerica
DEU,Europe_NorthAmerica
FRA,Europe_NorthAmerica
ITA,Europe_NorthAmerica
ESP,Europe_NorthAmerica
SWE,Europe_NorthAmerica
NOR,Europe_NorthAmerica
DNK,Europe_NorthAmerica
NLD,Europe_NorthAmerica
BEL,Europe_NorthAmerica
AUT,Europe_NorthAmerica
CHE,Europe_NorthAmerica
FIN,Europe_NorthAmerica
ALB,Europe_NorthAmerica
AND,Europe_NorthAmerica
BLR,Europe_NorthAmerica
BMU,Europe_NorthAmerica
BIH,Europe_NorthAmerica
BGR,Europe_NorthAmerica
CHI,Europe_NorthAmerica
HRV,Europe_NorthAmerica
CYP,Europe_NorthAmerica
CZE,Europe_NorthAmerica
EST,Europe_NorthAmerica
FRO,Europe_NorthAmerica
GIB,Europe_NorthAmerica
GRC,Europe_NorthAmerica
GRL,Europe_NorthAmerica
HUN,Europe_NorthAmerica
ISL,Europe_NorthAmerica
IRL,Europe_NorthAmerica
IMN,Europe_NorthAmerica
XKX,Europe_NorthAmerica
LVA,Europe_NorthAmerica
LIE,Europe_NorthAmerica
LTU,Europe_NorthAmerica
LUX,Europe_NorthAmerica
MLT,Europe_NorthAmerica
MDA,Europe_NorthAmerica
MCO,Europe_NorthAmerica
MNE,Europe_NorthAmerica
MKD,Europe_NorthAmerica
POL,Europe_NorthAmerica
PRT,Europe_NorthAmerica
ROU,Europe_NorthAmerica
RUS,Europe_NorthAmerica
SMR,Europe_NorthAmerica
SRB,Europe_NorthAmerica
SVK,Europe_NorthAmerica
SVN,Europe_NorthAmerica
UKR,Europe_NorthAmerica
CHN,China
IND,India
JPN,DevelopedAsia_Oceania
KOR,DevelopedAsia_Oceania
ISR,DevelopedAsia_Oceania
SGP,DevelopedAsia_Oceania
AUS,DevelopedAsia_Oceania
NZL,DevelopedAsia_Oceania
HKG,DevelopedAsia_Oceania
MAC,DevelopedAsia_Oceania
BRA,Global_South
ARG,Global_South
MEX,Global_South
CHL,Global_South
COL,Global_South
NGA,Global_South
KEN,Global_South
ZAF,Global_South
ETH,Global_South
IDN,Global_South
PHL,Global_South
THA,Global_South
VNM,Global_South
AFG,Global_South
DZA,Global_South
ASM,Global_South
AGO,Global_South
ATG,Global_South
ARM,Global_South
ABW,Global_South
AZE,Global_South
BHS,Global_South
BHR,Global_South
BGD,Global_South
BRB,Global_South
BLZ,Global_South
BEN,Global_South
BTN,Global_South
BOL,Global_South
BWA,Global_South
VGB,Global_South
BRN,Global_South
BFA,Global_South
BDI,Global_South
CPV,Global_South
KHM,Global_South
CMR,Global_South
CYM,Global_South
CAF,Global_South
TCD,Global_South
COM,Global_South
COD,Global_South
COG,Global_South
CRI,Global_South
CIV,Global_South
CUB,Global_South
CUW,Global_South
DJI,Global_South
DMA,Global_South
DOM,Global_South
ECU,Global_South
EGY,Global_South
SLV,Global_South
GNQ,Global_South
ERI,Global_South
SWZ,Global_South
FJI,Global_South
PYF,Global_South
GAB,Global_South
GMB,Global_South
GEO,Global_South
GHA,Global_South
GRD,Global_South
GUM,Global_South
GTM,Global_South
GIN,Global_South
GNB,Global_South
GUY,Global_South
HTI,Global_South
HND,Global_South
IRN,Global_South
IRQ,Global_South
JAM,Global_South
JOR,Global_South
KAZ,Global_South
KIR,Global_South
PRK,Global_South
KWT,Global_South
KGZ,Global_South
LAO,Global_South
LBN,Global_South
LSO,Global_South
LBR,Global_South
LBY,Global_South
MDG,Global_South
MWI,Global_South
MYS,Global_South
MDV,Global_South
MLI,Global_South
MHL,Global_South
MRT,Global_South
MUS,Global_South
FSM,Global_South
MNG,Global_South
MAR,Global_South
MOZ,Global_South
MMR,Global_South
NAM,Global_South
NRU,Global_South
NPL,Global_South
NCL,Global_South
NIC,Global_South
NER,Global_South
MNP,Global_South
OMN,Global_South
PAK,Global_South
PLW,Global_South
PAN,Global_South
PNG,Global_South
PRY,Global_South
PER,Global_South
PRI,Global_South
QAT,Global_South
RWA,Global_South
WSM,Global_South
STP,Global_South
SAU,Global_South
SEN,Global_South
SYC,Global_South
SLE,Global_South
SXM,Global_South
SLB,Global_South
SOM,Global_South
SSD,Global_South
LKA,Global_South
KNA,Global_South
LCA,Global_South
MAF,Global_South
VCT,Global_South
SDN,Global_South
SUR,Global_South
SYR,Global_South
TJK,Global_South
TZA,Global_South
TLS,Global_South
TGO,Global_South
TON,Global_South
TTO,Global_South
TUN,Global_South
TUR,Global_South
TKM,Global_South
TCA,Global_South
TUV,Global_South
UGA,Global_South
ARE,Global_South
URY,Global_South
UZB,Global_South
VUT,Global_South
VEN,Global_South
VIR,Global_South
PSE,Global_South
YEM,Global_South
ZMB,Global_South
ZWE,Global_South
