Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,5.8680866,..,5.6906113,..,5.7519961,..,10.5298896,10.3501355,28.8607414,24.2996488,19.7251611,20.3667652,18.9072348,21.0312529,20.5072949,20.1457819,22.1784637,22.155125,21.6960634,22.7349885,23.7741041,23.2985617,19.6224247,19.1785042,17.960381,18.1708567,13.1405332,10.6546599,13.7358099,..
Afghanistan,AFG,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,15.5938597,..,16.0810152,..,16.2136276,..,21.2667545,23.9640933,29.536868,29.3697382,31.3320058,31.0526214,30.165613,30.9841892,32.3322182,32.194518,35.0839368,34.6366704,36.2007127,38.0317131,33.399475,32.5233931,34.3129099,34.7350241,34.3181413,32.6259609,32.4204451,32.3008157,30.5994864,..
Afghanistan,AFG,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,23.9701623,..,24.0885444,..,24.0051086,..,22.822007,22.8117202,26.9097642,26.6313036,25.3014687,25.3059418,23.4034827,25.1604511,25.1356401,23.8258196,24.547485,27.6685806,28.7803146,28.6914007,29.7699576,29.511933,28.27664,28.4439091,28.4695599,27.3576848,24.9753672,24.3193623,23.6535886,..
Albania,ALB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,32.4784433,..,32.3625355,..,29.7698194,..,38.563708,38.4349672,42.591527,37.7696667,39.3747666,41.2841189,41.9592911,45.7016855,45.5763318,46.4976012,44.742022,44.410272,52.8982848,54.9095937,55.1796244,56.3191004,56.5605037,51.85865,51.704282,53.5111467,55.0925288,57.0459179,57.4136957,..
Albania,ALB,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,42.4033948,..,40.1966702,..,43.2522347,..,48.0407771,48.2980674,50.3227992,49.2536577,52.7909571,54.7537972,55.4656418,56.8762329,56.5557829,55.7116728,53.5446213,53.854301,55.7544291,55.5631739,55.8766261,56.6059076,56.6600998,56.309621,54.5543139,54.7847817,55.1084617,55.8603547,57.0035209,..
Albania,ALB,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,50.1733565,..,41.9594692,..,40.2803672,..,43.9830125,43.9254203,48.1099326,45.5331633,46.4330869,47.9213721,48.8299751,49.9817067,51.4950783,51.8141424,50.0421215,48.6825327,52.2072847,53.0614416,53.4166241,53.4236323,53.9639778,51.9490278,52.5460654,53.4957451,54.7107003,54.3312817,54.925199,..
Algeria,DZA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,36.7835535,..,36.1246015,..,30.3157122,..,37.3724856,34.5850843,38.1033202,38.0264522,37.0497518,36.7240995,37.2559537,37.761123,39.6206596,37.2941554,38.5167643,40.6276868,45.2110876,44.4268928,43.0877306,41.1681878,45.716986,45.1981709,46.1037431,42.3162152,46.1462983,44.4269433,46.4563079,..
Algeria,DZA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,40.6874311,..,39.5489711,..,41.8220965,..,43.8663676,43.6823971,45.2558833,45.015273,46.7686338,47.9190864,45.9314506,42.6888102,39.5704313,36.9654784,37.7034704,42.2604584,38.6433809,40.4991062,40.280713,39.9443843,38.4567671,37.0539655,37.8133673,39.5329048,41.0115322,42.4720793,42.9924826,..
Algeria,DZA,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,40.6857636,..,38.0153612,..,35.7892668,..,46.0446723,46.0472143,46.1178298,44.1696849,43.6743936,44.3086872,43.9828748,43.2082159,43.7110076,42.6235821,42.8471043,44.6601039,42.5745539,41.863492,42.1532807,42.0323238,42.2739483,42.4090971,43.6316749,43.9649172,43.223943,44.3500497,44.9726847,..
American Samoa,ASM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.0871189,45.5295067,45.4722208,55.597945,55.6655169,55.9014565,55.9462322,55.9198894,55.9265237,55.9339338,66.2726692,66.2174152,66.236622,66.2428596,66.2771005,66.3104743,66.2151577,66.2717223,66.2632058,66.2931807,66.2614695,..
